request_id,category,budget,strategy,scope,chunks,total_tokens,total_assignments,tile_sum,padding_sum,tail_expert_sum,median_batch,p10_batch,small_le4,frag_mean,rank_cv_mean
coins,natural,128,fixed,vision,1,108,41472,4316,234752,4298,5.25,1.0,0.4467430506551731,1.0046678146812777,0.19998081643608678
coins,natural,128,fixed,all,1,128,49152,5089,276544,5067,6.0,1.0,0.4302183896100226,1.004539110507415,0.17110962237530591
coins,natural,128,modality,vision,1,108,41472,4316,234752,4298,5.25,1.0,0.4467430506551731,1.0046678146812777,0.19998081643608678
coins,natural,128,modality,all,1,128,49152,5089,276544,5067,6.0,1.0,0.4302183896100226,1.004539110507415,0.17110962237530591
coins,natural,128,spatial,vision,1,108,41472,4316,234752,4298,5.25,1.0,0.4467430506551731,1.0046678146812777,0.19998081643608678
coins,natural,128,spatial,all,1,128,49152,5089,276544,5067,6.0,1.0,0.4302183896100226,1.004539110507415,0.17110962237530591
coins,natural,128,spatial_shuffled,vision,1,108,41472,4316,234752,4298,5.25,1.0,0.4467430506551731,1.0046678146812777,0.19998081643608678
coins,natural,128,spatial_shuffled,all,1,128,49152,5089,276544,5067,6.0,1.0,0.4302183896100226,1.004539110507415,0.17110962237530591
coins,natural,128,modality_spatial,vision,1,108,41472,4316,234752,4298,5.25,1.0,0.4467430506551731,1.0046678146812777,0.19998081643608678
coins,natural,128,modality_spatial,all,1,128,49152,5089,276544,5067,6.0,1.0,0.4302183896100226,1.004539110507415,0.17110962237530591
coins,natural,128,oracle,vision,1,108,41472,4316,234752,4298,5.25,1.0,0.4467430506551731,1.0046678146812777,0.19998081643608678
coins,natural,128,oracle,all,1,128,49152,5089,276544,5067,6.0,1.0,0.4302183896100226,1.004539110507415,0.17110962237530591
coins,natural,256,fixed,vision,1,108,41472,4316,234752,4298,5.25,1.0,0.4467430506551731,1.0046678146812777,0.19998081643608678
coins,natural,256,fixed,all,1,128,49152,5089,276544,5067,6.0,1.0,0.4302183896100226,1.004539110507415,0.17110962237530591
coins,natural,256,modality,vision,1,108,41472,4316,234752,4298,5.25,1.0,0.4467430506551731,1.0046678146812777,0.19998081643608678
coins,natural,256,modality,all,1,128,49152,5089,276544,5067,6.0,1.0,0.4302183896100226,1.004539110507415,0.17110962237530591
coins,natural,256,spatial,vision,1,108,41472,4316,234752,4298,5.25,1.0,0.4467430506551731,1.0046678146812777,0.19998081643608678
coins,natural,256,spatial,all,1,128,49152,5089,276544,5067,6.0,1.0,0.4302183896100226,1.004539110507415,0.17110962237530591
coins,natural,256,spatial_shuffled,vision,1,108,41472,4316,234752,4298,5.25,1.0,0.4467430506551731,1.0046678146812777,0.19998081643608678
coins,natural,256,spatial_shuffled,all,1,128,49152,5089,276544,5067,6.0,1.0,0.4302183896100226,1.004539110507415,0.17110962237530591
