budget,strategy,tile_sum_median,padding_sum_median,tile_ratio_vs_fixed,padding_ratio_vs_fixed,p10_batch_median,small_le4_median,chunks_median
128,fixed,13307.5,702352.0,1.0,1.0,1.0,0.44849675966057934,3.0
128,modality,12660.0,692544.0,1.019389410437153,1.0113018939674019,1.0,0.34885750228766643,3.0
128,spatial,12636.5,691040.0,1.0135827862437026,1.0287196396471532,1.0,0.39897840121829864,3.0
128,spatial_shuffled,13671.5,695240.0,1.0,1.0,1.0,0.4268519097760969,3.0
128,modality_spatial,12636.5,691040.0,1.0135827862437026,1.0287196396471532,1.0,0.39897840121829864,3.0
128,oracle,12239.0,606624.0,1.1452371686238818,1.2118045745295354,1.0,0.3467486383174524,3.0
256,fixed,8753.5,410896.0,1.0,1.0,1.5500000000000007,0.3415296960747308,2.0
256,modality,8099.0,400736.0,1.0,1.0,1.5500000000000007,0.2761418085799844,2.0
256,spatial,8073.5,399104.0,1.000677957706408,1.000906392393265,1.5,0.2941919700629956,2.0
256,spatial_shuffled,8579.0,407168.0,1.0004795117698344,1.000643877312105,1.5000000000000009,0.31900932840198093,2.0
256,modality_spatial,8073.5,399104.0,1.000677957706408,1.000906392393265,1.5,0.2941919700629956,2.0
256,oracle,7691.0,315648.0,1.1754611407814193,1.0750015242574689,2.0,0.24032425361511883,1.5
512,fixed,5938.5,272768.0,1.0,1.0,2.0,0.2311826171027428,1.0
512,modality,5938.5,272768.0,1.0,1.0,2.0,0.2284608221092656,1.0
512,spatial,5938.5,272768.0,1.0,1.0,2.0,0.23062721010456255,1.0
512,spatial_shuffled,5938.5,272768.0,1.0,1.0,2.0,0.22839711770899934,1.0
512,modality_spatial,5938.5,272768.0,1.0,1.0,2.0,0.23062721010456255,1.0
512,oracle,5938.5,272768.0,1.0,1.0,2.0,0.22989150994255816,1.0
1024,fixed,5938.5,272768.0,1.0,1.0,2.525000000000001,0.20632324265369406,1.0
1024,modality,5938.5,272768.0,1.0,1.0,2.0,0.18718508252330707,1.0
1024,spatial,5938.5,272768.0,1.0,1.0,2.525000000000001,0.2028812018100507,1.0
1024,spatial_shuffled,5938.5,272768.0,1.0,1.0,2.35,0.2109522363234285,1.0
1024,modality_spatial,5938.5,272768.0,1.0,1.0,2.525000000000001,0.2028812018100507,1.0
1024,oracle,5938.5,272768.0,1.0,1.0,2.8750000000000004,0.18718508252330707,1.0
