sample_id,category,edge,layer,policy,target_k,replicate,importance_slack,tokens,vision_tokens,assignments_dropped,vision_assignment_reduction,dropped_router_mass,rank0_before,rank1_before,rank2_before,rank3_before,rank0_after,rank1_after,rank2_after,rank3_after,max_rank_before,max_rank_after,max_rank_reduction,mean_rank_reduction,rank_cv_before,rank_cv_after,combined_rel_l2,vision_combined_rel_l2,combined_cosine,vision_token_cos_p01,vision_token_rel_p50,vision_token_rel_p99
astronaut_e336,natural,336,4,semantic,8,0,0.0,125,100,0,0.0,0.0,260,260,240,240,260,260,240,240,260,260,0.0,0.0,0.04,0.04,0.0,0.0,1.0000001192092896,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,4,random,8,0,0.0,125,100,0,0.0,0.0,260,260,240,240,260,260,240,240,260,260,0.0,0.0,0.04,0.04,0.0,0.0,1.0000001192092896,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,4,random,8,1,0.0,125,100,0,0.0,0.0,260,260,240,240,260,260,240,240,260,260,0.0,0.0,0.04,0.04,0.0,0.0,1.0000001192092896,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,4,random,8,2,0.0,125,100,0,0.0,0.0,260,260,240,240,260,260,240,240,260,260,0.0,0.0,0.04,0.04,0.0,0.0,1.0000001192092896,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,4,tail_aware,8,0,0.0,125,100,0,0.0,0.0,260,260,240,240,260,260,240,240,260,260,0.0,0.0,0.04,0.04,0.0,0.0,1.0000001192092896,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,4,tail_aware,8,0,0.01,125,100,0,0.0,0.0,260,260,240,240,260,260,240,240,260,260,0.0,0.0,0.04,0.04,0.0,0.0,1.0000001192092896,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,4,tail_aware,8,0,0.02,125,100,0,0.0,0.0,260,260,240,240,260,260,240,240,260,260,0.0,0.0,0.04,0.04,0.0,0.0,1.0000001192092896,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,4,semantic,6,0,0.0,125,100,200,0.25,0.20639961957931519,260,260,240,240,193,204,196,207,260,207,0.2038461538461539,0.19999999999999996,0.04,0.028504385627478448,0.3386056423187256,0.36429455876350403,0.9410810470581055,0.8541444540023804,0.3828226327896118,0.5235350131988525
astronaut_e336,natural,336,4,random,6,0,0.0,125,100,200,0.25,0.2510877549648285,260,260,240,240,208,202,191,199,260,208,0.19999999999999996,0.19999999999999996,0.04,0.030618621784789725,0.43976300954818726,0.47312647104263306,0.8983519077301025,0.7241755127906799,0.4717041850090027,0.6903417110443115
astronaut_e336,natural,336,4,random,6,1,0.0,125,100,200,0.25,0.2513362169265747,260,260,240,240,210,197,201,192,260,210,0.1923076923076923,0.19999999999999996,0.04,0.0329772648956823,0.4607609510421753,0.4957173466682434,0.88776695728302,0.7012672424316406,0.47220125794410706,0.7132723927497864
astronaut_e336,natural,336,4,random,6,2,0.0,125,100,200,0.25,0.2570657432079315,260,260,240,240,207,210,190,193,260,210,0.1923076923076923,0.19999999999999996,0.04,0.04315669125408017,0.4783143401145935,0.5146024823188782,0.8784887790679932,0.6424852609634399,0.48793989419937134,0.7695343494415283
astronaut_e336,natural,336,4,tail_aware,6,0,0.0,125,100,200,0.25,0.20639961957931519,260,260,240,240,201,199,194,206,260,206,0.20769230769230773,0.19999999999999996,0.04,0.021505813167606566,0.33696332573890686,0.36252763867378235,0.9416696429252625,0.8734029531478882,0.38427940011024475,0.4883221685886383
astronaut_e336,natural,336,4,tail_aware,6,0,0.01,125,100,200,0.25,0.20812124013900757,260,260,240,240,207,217,172,204,260,217,0.16538461538461535,0.19999999999999996,0.04,0.08433563896716499,0.3400237560272217,0.3658202588558197,0.9405683279037476,0.8718883395195007,0.3886496424674988,0.48990145325660706
astronaut_e336,natural,336,4,tail_aware,6,0,0.02,125,100,200,0.25,0.21004022657871246,260,260,240,240,206,218,164,212,260,218,0.16153846153846152,0.19999999999999996,0.04,0.10606601717798213,0.3458610475063324,0.3721004128456116,0.9384453296661377,0.8644648194313049,0.3922232985496521,0.507123589515686
astronaut_e336,natural,336,4,semantic,4,0,0.0,125,100,400,0.5,0.42832356691360474,260,260,240,240,145,157,146,152,260,157,0.3961538461538462,0.4,0.04,0.03231786571610886,0.5065425038337708,0.5449721813201904,0.8626893162727356,0.7136275768280029,0.5805901288986206,0.700955867767334
astronaut_e336,natural,336,4,random,4,0,0.0,125,100,400,0.5,0.49672630429267883,260,260,240,240,139,153,154,154,260,154,0.4076923076923077,0.4,0.04,0.042426406871192854,0.6317336559295654,0.679661214351654,0.7758177518844604,0.4444016218185425,0.6857147216796875,0.8989452719688416
astronaut_e336,natural,336,4,random,4,1,0.0,125,100,400,0.5,0.4986025094985962,260,260,240,240,145,159,150,146,260,159,0.3884615384615384,0.4,0.04,0.03681787005729087,0.6489361524581909,0.6981688737869263,0.7614889144897461,0.41754040122032166,0.691439151763916,0.9087550640106201
astronaut_e336,natural,336,4,random,4,2,0.0,125,100,400,0.5,0.5011581778526306,260,260,240,240,148,137,152,163,260,163,0.3730769230769231,0.4,0.04,0.06200358412579425,0.6330733895301819,0.6811026930809021,0.7748213410377502,0.545381486415863,0.6763718128204346,0.838739275932312
astronaut_e336,natural,336,4,tail_aware,4,0,0.0,125,100,400,0.5,0.42832356691360474,260,260,240,240,149,156,147,148,260,156,0.4,0.4,0.04,0.023570226039551584,0.5055113434791565,0.5438629388809204,0.8632992506027222,0.7136275768280029,0.5805901288986206,0.700955867767334
astronaut_e336,natural,336,4,tail_aware,4,0,0.01,125,100,400,0.5,0.42973896861076355,260,260,240,240,151,157,156,136,260,157,0.3961538461538462,0.4,0.04,0.05597618541248888,0.5068138837814331,0.5452643036842346,0.862557590007782,0.7281544804573059,0.582301914691925,0.685667097568512
astronaut_e336,natural,336,4,tail_aware,4,0,0.02,125,100,400,0.5,0.43452247977256775,260,260,240,240,134,144,157,165,260,165,0.3653846153846154,0.4,0.04,0.0793025150224688,0.5191832780838013,0.5585721135139465,0.8551405668258667,0.7116653323173523,0.5965967774391174,0.702508807182312
astronaut_e336,natural,336,4,semantic,2,0,0.0,125,100,600,0.75,0.6796594262123108,260,260,240,240,88,102,102,108,260,108,0.5846153846153845,0.6,0.04,0.07348469228349534,0.6759793162345886,0.7272636294364929,0.7376025319099426,0.4707397222518921,0.7679434418678284,0.8824113607406616
astronaut_e336,natural,336,4,random,2,0,0.0,125,100,600,0.75,0.7483698129653931,260,260,240,240,99,91,103,107,260,107,0.5884615384615385,0.6,0.04,0.05916079783099616,0.7715083360671997,0.8300402164459229,0.6371368765830994,0.34070080518722534,0.8489259481430054,0.9427785873413086
astronaut_e336,natural,336,4,random,2,1,0.0,125,100,600,0.75,0.756223201751709,260,260,240,240,101,93,105,101,260,105,0.5961538461538461,0.6,0.04,0.04358898943540674,0.7890515327453613,0.8489142656326294,0.6151692867279053,0.3201965093612671,0.8593230247497559,0.9474475979804993
astronaut_e336,natural,336,4,random,2,2,0.0,125,100,600,0.75,0.7522850036621094,260,260,240,240,94,92,97,117,260,117,0.55,0.6,0.04,0.09974968671630002,0.7946168780326843,0.854901909828186,0.6079864501953125,0.31357571482658386,0.8656057119369507,0.9496700763702393
astronaut_e336,natural,336,4,tail_aware,2,0,0.0,125,100,600,0.75,0.6796594262123108,260,260,240,240,92,103,100,105,260,105,0.5961538461538461,0.6,0.04,0.049497474683058325,0.6752409338951111,0.7264693379402161,0.7382746338844299,0.4828289747238159,0.7667194604873657,0.8762561082839966
astronaut_e336,natural,336,4,tail_aware,2,0,0.01,125,100,600,0.75,0.6805621981620789,260,260,240,240,82,109,103,106,260,109,0.5807692307692307,0.6,0.04,0.10606601717798213,0.6768748164176941,0.7282271385192871,0.736777126789093,0.4706343114376068,0.7705274820327759,0.8824477195739746
astronaut_e336,natural,336,4,tail_aware,2,0,0.02,125,100,600,0.75,0.6827134490013123,260,260,240,240,78,113,99,110,260,113,0.5653846153846154,0.6,0.04,0.1372953021774598,0.6809974908828735,0.732662558555603,0.7329390645027161,0.4706343114376068,0.7740062475204468,0.8824477195739746
astronaut_e336,natural,336,4,semantic,1,0,0.0,125,100,700,0.875,0.8250749707221985,260,260,240,240,62,73,77,88,260,88,0.6615384615384615,0.7,0.04,0.1240071682515885,0.7781804800033569,0.8372185230255127,0.6285533308982849,0.32910850644111633,0.8750180006027222,0.9450362920761108
astronaut_e336,natural,336,4,random,1,0,0.0,125,100,700,0.875,0.873579740524292,260,260,240,240,65,65,84,86,260,86,0.6692307692307693,0.7,0.04,0.1336662510384228,0.8656774759292603,0.9313536286354065,0.5010228753089905,0.1892564296722412,0.9403688907623291,0.9821059703826904
astronaut_e336,natural,336,4,random,1,1,0.0,125,100,700,0.875,0.8728065490722656,260,260,240,240,58,73,87,82,260,87,0.6653846153846155,0.7,0.04,0.14696938456699069,0.8569417595863342,0.9219551682472229,0.5158986449241638,0.21266081929206848,0.9365912079811096,0.9772650003433228
astronaut_e336,natural,336,4,random,1,2,0.0,125,100,700,0.875,0.8731359839439392,260,260,240,240,58,67,91,84,260,91,0.65,0.7,0.04,0.17511900715418263,0.8589338064193726,0.9240983128547668,0.5123860836029053,0.19093239307403564,0.934751033782959,0.9819567799568176
astronaut_e336,natural,336,4,tail_aware,1,0,0.0,125,100,700,0.875,0.8250749707221985,260,260,240,240,65,72,78,85,260,85,0.6730769230769231,0.7,0.04,0.09843215373488934,0.7785462737083435,0.8376120924949646,0.6281027793884277,0.32636088132858276,0.8754109740257263,0.9455388784408569
astronaut_e336,natural,336,4,tail_aware,1,0,0.01,125,100,700,0.875,0.8256536722183228,260,260,240,240,68,61,85,86,260,86,0.6692307692307693,0.7,0.04,0.14391355429948602,0.7769103050231934,0.8358520865440369,0.6301382780075073,0.32636088132858276,0.8730010986328125,0.9459099173545837
astronaut_e336,natural,336,4,tail_aware,1,0,0.02,125,100,700,0.875,0.8264506459236145,260,260,240,240,64,61,87,88,260,88,0.6615384615384615,0.7,0.04,0.1673320053068151,0.7790830135345459,0.8381894826889038,0.6274245381355286,0.32636088132858276,0.8754109740257263,0.9459099173545837
astronaut_e336,natural,336,24,semantic,8,0,0.0,125,100,0,0.0,0.0,245,234,267,254,245,234,267,254,267,267,0.0,0.0,0.04841487374764082,0.04841487374764082,0.0,0.0,1.0,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,24,random,8,0,0.0,125,100,0,0.0,0.0,245,234,267,254,245,234,267,254,267,267,0.0,0.0,0.04841487374764082,0.04841487374764082,0.0,0.0,1.0,0.9999995231628418,0.0,0.0
astronaut_e336,natural,336,24,random,8,1,0.0,125,100,0,0.0,0.0,245,234,267,254,245,234,267,254,267,267,0.0,0.0,0.04841487374764082,0.04841487374764082,0.0,0.0,1.0,0.9999995231628418,0.0,0.0
