total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.392822035484187e-08,0.00279788370244205,0.9999960660934448
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.392822035484187e-08,0.00279788370244205,0.9999960660934448
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.44205625218774e-08,0.0028312397189438343,0.9999959468841553
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.44205625218774e-08,0.0028312397189438343,0.9999959468841553
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.323870346681133e-08,0.0028330853674560785,0.9999958872795105
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.323870346681133e-08,0.0028330853674560785,0.9999958872795105
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4928886571397015e-08,0.002816943684592843,0.9999959468841553
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4928886571397015e-08,0.002816943684592843,0.9999959468841553
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.628459145308625e-08,0.0028097673784941435,0.9999960064888
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.628459145308625e-08,0.0028097673784941435,0.9999960064888
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4111977364450468e-08,0.002830038545653224,0.9999960660934448
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4111977364450468e-08,0.002830038545653224,0.9999960660934448
128,64,0,high_variance,2.0,1,3,0.5,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.42163729677236e-08,0.0028167874552309513,0.9999960064888
128,64,0,high_variance,2.0,1,3,0.5,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.42163729677236e-08,0.0028167874552309513,0.9999960064888
256,1,63,uniform,256.0,256,256,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4778573032003806e-08,0.002831169404089451,0.9999960660934448
256,1,63,uniform,256.0,256,256,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4778573032003806e-08,0.002831169404089451,0.9999960660934448
256,2,62,uniform,128.0,128,128,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.3865232517673576e-08,0.002822929061949253,0.9999960064888
256,2,62,uniform,128.0,128,128,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.3865232517673576e-08,0.002822929061949253,0.9999960064888
256,2,62,high_variance,128.0,1,255,0.9921875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4268939807493553e-08,0.0028301202692091465,0.9999959468841553
256,2,62,high_variance,128.0,1,255,0.9921875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4268939807493553e-08,0.0028301202692091465,0.9999959468841553
256,4,60,uniform,64.0,64,64,0.0,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4861517350084341e-08,0.0028257675003260374,0.9999959468841553
256,4,60,uniform,64.0,64,64,0.0,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4861517350084341e-08,0.0028257675003260374,0.9999959468841553
256,4,60,high_variance,64.0,1,127,0.984375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.496429291591994e-08,0.00282780802808702,0.9999960064888
256,4,60,high_variance,64.0,1,127,0.984375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.496429291591994e-08,0.00282780802808702,0.9999960064888
256,8,56,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.490982626251025e-08,0.002827337244525552,0.9999960660934448
256,8,56,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.490982626251025e-08,0.002827337244525552,0.9999960660934448
256,8,56,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4479526022626032e-08,0.002814824227243662,0.9999960660934448
256,8,56,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4479526022626032e-08,0.002814824227243662,0.9999960660934448
256,16,48,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4696758476873129e-08,0.002816159976646304,0.9999961256980896
256,16,48,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4696758476873129e-08,0.002816159976646304,0.9999961256980896
256,16,48,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4727347341647601e-08,0.002820761641487479,0.9999960660934448
256,16,48,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4727347341647601e-08,0.002820761641487479,0.9999960660934448
256,32,32,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.415645556335221e-08,0.002826311392709613,0.9999960660934448
256,32,32,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.415645556335221e-08,0.002826311392709613,0.9999960660934448
256,32,32,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4079025945079593e-08,0.0028237204533070326,0.9999959468841553
256,32,32,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4079025945079593e-08,0.0028237204533070326,0.9999959468841553
256,64,0,uniform,4.0,4,4,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5756569382574526e-08,0.002830944024026394,0.9999959468841553
256,64,0,uniform,4.0,4,4,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5756569382574526e-08,0.002830944024026394,0.9999959468841553
256,64,0,high_variance,4.0,1,7,0.75,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.3386017627681213e-08,0.0028333705849945545,0.9999960660934448
256,64,0,high_variance,4.0,1,7,0.75,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.3386017627681213e-08,0.0028333705849945545,0.9999960660934448
512,1,63,uniform,512.0,512,512,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4620029631373654e-08,0.002834028797224164,0.9999961256980896
512,1,63,uniform,512.0,512,512,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4620029631373654e-08,0.002834028797224164,0.9999961256980896
512,2,62,uniform,256.0,256,256,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5226202521034793e-08,0.0028297575190663338,0.9999958872795105
512,2,62,uniform,256.0,256,256,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5226202521034793e-08,0.0028297575190663338,0.9999958872795105
512,2,62,high_variance,256.0,1,511,0.99609375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4475039833428127e-08,0.0028231763280928135,0.9999960064888
512,2,62,high_variance,256.0,1,511,0.99609375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4475039833428127e-08,0.0028231763280928135,0.9999960064888
512,4,60,uniform,128.0,128,128,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4998439823443732e-08,0.0028430887032300234,0.9999960660934448
512,4,60,uniform,128.0,128,128,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4998439823443732e-08,0.0028430887032300234,0.9999960660934448
512,4,60,high_variance,128.0,1,255,0.9921875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4216489319096581e-08,0.002823227783665061,0.9999960660934448
512,4,60,high_variance,128.0,1,255,0.9921875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4216489319096581e-08,0.002823227783665061,0.9999960660934448
512,8,56,uniform,64.0,64,64,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4680960447321922e-08,0.0028339833952486515,0.9999958872795105
512,8,56,uniform,64.0,64,64,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4680960447321922e-08,0.0028339833952486515,0.9999958872795105
512,8,56,high_variance,64.0,1,127,0.984375,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4484017540894456e-08,0.002829110948368907,0.9999959468841553
512,8,56,high_variance,64.0,1,127,0.984375,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4484017540894456e-08,0.002829110948368907,0.9999959468841553
512,16,48,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4466881026464762e-08,0.0028331077191978693,0.9999959468841553
512,16,48,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4466881026464762e-08,0.0028331077191978693,0.9999959468841553
