active_experts,inactive_experts,operation,repetition,host_visible_latency_us
2,62,gpu_counts_cumsum,2,20.69
2,62,gpu_counts_cumsum,3,20.313
2,62,gpu_counts_cumsum,4,19.28
2,62,gpu_counts_cumsum,5,17.859
2,62,gpu_counts_cumsum,6,17.551
2,62,gpu_counts_cumsum,7,20.05
2,62,gpu_counts_cumsum,8,19.921
2,62,gpu_counts_cumsum,9,20.045
2,62,gpu_counts_cumsum,10,20.28
2,62,gpu_counts_cumsum,11,20.125
2,62,gpu_counts_cumsum,12,18.733
2,62,gpu_counts_cumsum,13,17.72
2,62,gpu_counts_cumsum,14,31.101
2,62,gpu_counts_cumsum,15,18.924
2,62,gpu_counts_cumsum,16,17.681
2,62,gpu_counts_cumsum,17,17.66
2,62,gpu_counts_cumsum,18,17.784
2,62,gpu_counts_cumsum,19,19.947
2,62,gpu_counts_cumsum,20,20.163
2,62,gpu_counts_cumsum,21,19.124
2,62,gpu_counts_cumsum,22,17.511
2,62,gpu_counts_cumsum,23,17.267
2,62,gpu_counts_cumsum,24,19.617
2,62,gpu_counts_cumsum,25,20.343
2,62,gpu_counts_cumsum,26,20.173
2,62,gpu_counts_cumsum,27,20.334
2,62,gpu_counts_cumsum,28,20.529
2,62,gpu_counts_cumsum,29,19.803
2,62,gpu_counts_cumsum,30,20.419
2,62,gpu_counts_cumsum,31,20.243
2,62,gpu_counts_cumsum,32,17.245
2,62,gpu_counts_cumsum,33,17.449
2,62,gpu_counts_cumsum,34,17.888
2,62,gpu_counts_cumsum,35,17.38
2,62,gpu_counts_cumsum,36,21.078
2,62,gpu_counts_cumsum,37,20.485
2,62,gpu_counts_cumsum,38,19.665
2,62,gpu_counts_cumsum,39,20.053
2,62,cpu_list_to_cuda_offsets,0,46.917
2,62,cpu_list_to_cuda_offsets,1,40.465
2,62,cpu_list_to_cuda_offsets,2,39.2
2,62,cpu_list_to_cuda_offsets,3,36.923
2,62,cpu_list_to_cuda_offsets,4,46.309
2,62,cpu_list_to_cuda_offsets,5,40.351
2,62,cpu_list_to_cuda_offsets,6,35.978
2,62,cpu_list_to_cuda_offsets,7,35.843
2,62,cpu_list_to_cuda_offsets,8,36.484
2,62,cpu_list_to_cuda_offsets,9,36.695
2,62,cpu_list_to_cuda_offsets,10,36.124
2,62,cpu_list_to_cuda_offsets,11,35.323
2,62,cpu_list_to_cuda_offsets,12,38.364
2,62,cpu_list_to_cuda_offsets,13,35.463
2,62,cpu_list_to_cuda_offsets,14,35.1
2,62,cpu_list_to_cuda_offsets,15,34.345
2,62,cpu_list_to_cuda_offsets,16,37.147
2,62,cpu_list_to_cuda_offsets,17,37.799
2,62,cpu_list_to_cuda_offsets,18,35.61
2,62,cpu_list_to_cuda_offsets,19,37.708
2,62,cpu_list_to_cuda_offsets,20,38.842
2,62,cpu_list_to_cuda_offsets,21,39.191
2,62,cpu_list_to_cuda_offsets,22,37.055
2,62,cpu_list_to_cuda_offsets,23,36.505
2,62,cpu_list_to_cuda_offsets,24,38.754
2,62,cpu_list_to_cuda_offsets,25,50.135
2,62,cpu_list_to_cuda_offsets,26,43.239
2,62,cpu_list_to_cuda_offsets,27,35.606
2,62,cpu_list_to_cuda_offsets,28,35.183
2,62,cpu_list_to_cuda_offsets,29,35.554
2,62,cpu_list_to_cuda_offsets,30,35.835
2,62,cpu_list_to_cuda_offsets,31,34.798
2,62,cpu_list_to_cuda_offsets,32,38.273
2,62,cpu_list_to_cuda_offsets,33,38.288
2,62,cpu_list_to_cuda_offsets,34,38.026
2,62,cpu_list_to_cuda_offsets,35,36.538
2,62,cpu_list_to_cuda_offsets,36,36.843
2,62,cpu_list_to_cuda_offsets,37,38.2
2,62,cpu_list_to_cuda_offsets,38,38.911
2,62,cpu_list_to_cuda_offsets,39,36.239
2,62,vllm_make_from_list,0,26.384
2,62,vllm_make_from_list,1,22.827
2,62,vllm_make_from_list,2,20.683
2,62,vllm_make_from_list,3,21.875
2,62,vllm_make_from_list,4,21.394
2,62,vllm_make_from_list,5,22.044
2,62,vllm_make_from_list,6,20.747
2,62,vllm_make_from_list,7,21.57
2,62,vllm_make_from_list,8,21.426
2,62,vllm_make_from_list,9,20.707
2,62,vllm_make_from_list,10,29.726
2,62,vllm_make_from_list,11,27.231
2,62,vllm_make_from_list,12,21.201
2,62,vllm_make_from_list,13,21.361
2,62,vllm_make_from_list,14,20.691
2,62,vllm_make_from_list,15,21.456
2,62,vllm_make_from_list,16,20.808
2,62,vllm_make_from_list,17,20.366
2,62,vllm_make_from_list,18,38.062
2,62,vllm_make_from_list,19,21.373
2,62,vllm_make_from_list,20,20.906
2,62,vllm_make_from_list,21,21.285
2,62,vllm_make_from_list,22,20.619
2,62,vllm_make_from_list,23,20.831
2,62,vllm_make_from_list,24,20.778
2,62,vllm_make_from_list,25,20.824
2,62,vllm_make_from_list,26,20.76
2,62,vllm_make_from_list,27,20.71
2,62,vllm_make_from_list,28,20.965
2,62,vllm_make_from_list,29,20.727
2,62,vllm_make_from_list,30,21.022
2,62,vllm_make_from_list,31,21.109
2,62,vllm_make_from_list,32,21.172
2,62,vllm_make_from_list,33,20.644
2,62,vllm_make_from_list,34,20.695
2,62,vllm_make_from_list,35,21.09
2,62,vllm_make_from_list,36,20.531
2,62,vllm_make_from_list,37,21.007
2,62,vllm_make_from_list,38,21.067
2,62,vllm_make_from_list,39,21.288
4,60,gpu_counts_cumsum,0,21.365
4,60,gpu_counts_cumsum,1,20.996
4,60,gpu_counts_cumsum,2,20.145
4,60,gpu_counts_cumsum,3,19.676
4,60,gpu_counts_cumsum,4,19.227
4,60,gpu_counts_cumsum,5,17.597
4,60,gpu_counts_cumsum,6,17.088
4,60,gpu_counts_cumsum,7,16.863
4,60,gpu_counts_cumsum,8,17.417
4,60,gpu_counts_cumsum,9,19.335
4,60,gpu_counts_cumsum,10,19.823
4,60,gpu_counts_cumsum,11,19.043
4,60,gpu_counts_cumsum,12,19.062
4,60,gpu_counts_cumsum,13,17.333
4,60,gpu_counts_cumsum,14,17.794
4,60,gpu_counts_cumsum,15,16.907
4,60,gpu_counts_cumsum,16,16.984
4,60,gpu_counts_cumsum,17,17.11
4,60,gpu_counts_cumsum,18,17.623
4,60,gpu_counts_cumsum,19,16.804
4,60,gpu_counts_cumsum,20,18.066
4,60,gpu_counts_cumsum,21,19.281
4,60,gpu_counts_cumsum,22,16.758
4,60,gpu_counts_cumsum,23,17.122
4,60,gpu_counts_cumsum,24,21.304
4,60,gpu_counts_cumsum,25,19.607
4,60,gpu_counts_cumsum,26,19.38
4,60,gpu_counts_cumsum,27,19.485
