total_rows,bytes,repetition,latency_ms,effective_gbps
64,786432,0,0.02304000034928322,34.13333281587672
64,786432,1,0.025631999596953392,30.681648422523967
64,786432,2,0.02239999920129776,35.10857268041499
64,786432,3,0.01961600035429001,40.091353272636326
64,786432,4,0.020767999812960625,37.86748878479928
64,786432,5,0.021183999255299568,37.12386837453554
64,786432,6,0.019807999953627586,39.702746458052914
64,786432,7,0.019711999222636223,39.89610546944943
64,786432,8,0.01990400068461895,39.51125266026164
64,786432,9,0.01945599913597107,40.42105442665298
64,786432,10,0.019392000511288643,40.554454376287545
64,786432,11,0.019328000023961067,40.68874167141217
64,786432,12,0.019392000511288643,40.554454376287545
64,786432,13,0.02271999977529049,34.614084849388824
64,786432,14,0.02038400061428547,38.58084656104526
64,786432,15,0.020255999639630318,38.82464524048307
64,786432,16,0.019071999937295914,41.234899464429354
64,786432,17,0.013472000136971474,58.37529631860523
64,786432,18,0.012703999876976013,61.90428271534254
64,786432,19,0.012608000077307224,62.375634135304004
64,786432,20,0.020735999569296837,37.9259267136775
64,786432,21,0.020479999482631683,38.40000097006562
64,786432,22,0.020416000857949257,38.52037455679238
64,786432,23,0.014560000039637089,54.01318666614523
64,786432,24,0.013024000450968742,60.38329029246188
64,786432,25,0.012480000033974648,63.0153844438361
64,786432,26,0.01206399966031313,65.18833074797912
64,786432,27,0.011872000060975552,66.24258726085088
64,786432,28,0.012191999703645706,64.50393857578898
64,786432,29,0.012095999903976917,65.01587353199608
64,786432,30,0.011487999930977821,68.45682492383698
64,786432,31,0.012543999589979649,62.69387960026838
64,786432,32,0.01196799986064434,65.7112307116671
64,786432,33,0.011615999974310398,67.70247948857178
64,786432,34,0.01235199999064207,63.668393830618875
64,786432,35,0.011872000060975552,66.24258726085088
64,786432,36,0.011935999616980553,65.88740157809619
64,786432,37,0.015936000272631645,49.34939674609643
64,786432,38,0.012608000077307224,62.375634135304004
64,786432,39,0.012128000147640705,64.84432638739594
128,1572864,0,0.012992000207304955,121.06403747712632
128,1572864,1,0.012640000320971012,124.43543987815119
128,1572864,2,0.011807999573647976,133.20325684209672
128,1572864,3,0.012032000347971916,130.72340047472804
128,1572864,4,0.01206399966031313,130.37666149595825
128,1572864,5,0.011839999817311764,132.84324529298127
128,1572864,6,0.012128000147640705,129.68865277479188
128,1572864,7,0.01152000017464161,136.53333126350688
128,1572864,8,0.011680000461637974,134.66300837623643
128,1572864,9,0.013632000423967838,115.38027810170723
128,1572864,10,0.01190400030463934,132.1290288767053
128,1572864,11,0.011839999817311764,132.84324529298127
128,1572864,12,0.012191999703645706,129.00787715157796
128,1572864,13,0.011327999643981457,138.84746199084316
128,1572864,14,0.011711999773979187,134.2950845588699
128,1572864,15,0.011648000217974186,135.0329645060353
128,1572864,16,0.011839999817311764,132.84324529298127
128,1572864,17,0.012160000391304493,129.34736425870025
128,1572864,18,0.011455999687314034,137.29609313290516
128,1572864,19,0.011776000261306763,133.56521442752262
128,1572864,20,0.011711999773979187,134.2950845588699
128,1572864,21,0.011872000060975552,132.48517452170177
128,1572864,22,0.012256000190973282,128.33420165564593
128,1572864,23,0.014047999866306782,111.96355459629612
128,1572864,24,0.01142400037497282,137.68066774978044
128,1572864,25,0.012032000347971916,130.72340047472804
128,1572864,26,0.011455999687314034,137.29609313290516
128,1572864,27,0.01196799986064434,131.4224614233342
128,1572864,28,0.01206399966031313,130.37666149595825
128,1572864,29,0.011776000261306763,133.56521442752262
128,1572864,30,0.011935999616980553,131.77480315619238
128,1572864,31,0.011872000060975552,132.48517452170177
128,1572864,32,0.011776000261306763,133.56521442752262
128,1572864,33,0.011680000461637974,134.66300837623643
128,1572864,34,0.01142400037497282,137.68066774978044
128,1572864,35,0.012160000391304493,129.34736425870025
128,1572864,36,0.011744000017642975,133.92915511215014
128,1572864,37,0.013632000423967838,115.38027810170723
128,1572864,38,0.012128000147640705,129.68865277479188
128,1572864,39,0.012160000391304493,129.34736425870025
256,3145728,0,0.01196799986064434,262.8449228466684
256,3145728,1,0.012384000234305859,254.0154990699839
256,3145728,2,0.012128000147640705,259.37730554958375
256,3145728,3,0.012032000347971916,261.4468009494561
256,3145728,4,0.011615999974310398,270.80991795428713
256,3145728,5,0.012095999903976917,260.0634941279843
256,3145728,6,0.011552000418305397,272.3102394469492
256,3145728,7,0.011839999817311764,265.68649058596253
256,3145728,8,0.011455999687314034,274.5921862658103
256,3145728,9,0.01228800043463707,255.99999094506137
256,3145728,10,0.01568000018596649,200.62040578388564
256,3145728,11,0.013151999562978745,239.1824896995006
256,3145728,12,0.01398400031030178,224.95194008845914
256,3145728,13,0.013663999736309052,230.22014495806266
256,3145728,14,0.012256000190973282,256.66840331129185
256,3145728,15,0.012032000347971916,261.4468009494561
256,3145728,16,0.01190400030463934,264.2580577534106
256,3145728,17,0.01235199999064207,254.6735753224755
256,3145728,18,0.012480000033974648,252.0615377753444
256,3145728,19,0.011807999573647976,266.40651368419344
256,3145728,20,0.012543999589979649,250.77551840107353
256,3145728,21,0.011648000217974186,270.0659290120706
256,3145728,22,0.012543999589979649,250.77551840107353
256,3145728,23,0.01408000010997057,223.4181800731943
256,3145728,24,0.01235199999064207,254.6735753224755
256,3145728,25,0.012640000320971012,248.87087975630237
256,3145728,26,0.011807999573647976,266.40651368419344
256,3145728,27,0.01152000017464161,273.06666252701376
256,3145728,28,0.017343999817967415,181.3726956305201
256,3145728,29,0.011872000060975552,264.97034904340353
256,3145728,30,0.012000000104308128,262.1439977213542
256,3145728,31,0.01235199999064207,254.6735753224755
256,3145728,32,0.01190400030463934,264.2580577534106
256,3145728,33,0.012095999903976917,260.0634941279843
256,3145728,34,0.011711999773979187,268.5901691177398
256,3145728,35,0.011744000017642975,267.8583102243003
256,3145728,36,0.011648000217974186,270.0659290120706
256,3145728,37,0.013439999893307686,234.0571447151859
256,3145728,38,0.012608000077307224,249.50253654121602
256,3145728,39,0.012256000190973282,256.66840331129185
512,6291456,0,0.012575999833643436,500.2748157779898
512,6291456,1,0.01283199992030859,490.29426738405874
512,6291456,2,0.012896000407636166,487.8610267625777
512,6291456,3,0.011935999616980553,527.0992126247695
512,6291456,4,0.012160000391304493,517.389457034801
512,6291456,5,0.012543999589979649,501.55103680214705
512,6291456,6,0.012160000391304493,517.389457034801
512,6291456,7,0.01228800043463707,511.99998189012274
512,6291456,8,0.012000000104308128,524.2879954427084
512,6291456,9,0.011615999974310398,541.6198359085743
512,6291456,10,0.016416000202298164,383.25145726540774
512,6291456,11,0.012032000347971916,522.8936018989122
512,6291456,12,0.012543999589979649,501.55103680214705
512,6291456,13,0.012640000320971012,497.74175951260474
512,6291456,14,0.015456000342965126,407.05589158864035
512,6291456,15,0.012384000234305859,508.0309981399678
512,6291456,16,0.012384000234305859,508.0309981399678
512,6291456,17,0.013632000423967838,461.52111240682893
512,6291456,18,0.013887999579310417,453.01383860730147
512,6291456,19,0.013439999893307686,468.1142894303718
512,6291456,20,0.013439999893307686,468.1142894303718
512,6291456,21,0.012927999719977379,486.65347588752957
512,6291456,22,0.013504000380635262,465.89572146502223
512,6291456,23,0.015424000099301338,407.9004123116535
512,6291456,24,0.013856000266969204,454.0600374408165
512,6291456,25,0.013887999579310417,453.01383860730147
512,6291456,26,0.013279999606311321,473.7542309120239
512,6291456,27,0.012000000104308128,524.2879954427084
512,6291456,28,0.013887999579310417,453.01383860730147
512,6291456,29,0.012768000364303589,492.7518656397813
512,6291456,30,0.013407999649643898,469.2315158411489
512,6291456,31,0.012671999633312225,496.48486285155695
512,6291456,32,0.01375999953597784,457.22792239563137
512,6291456,33,0.012799999676644802,491.5200124168399
512,6291456,34,0.01321600005030632,476.0484243380566
512,6291456,35,0.015776000916957855,398.79916546133194
512,6291456,36,0.013344000093638897,471.48201107995686
512,6291456,37,0.013824000023305416,455.1111103438546
512,6291456,38,0.013088000006973743,480.70415622308167
512,6291456,39,0.01206399966031313,521.506645983833
1024,12582912,0,0.014047999866306782,895.708436770369
1024,12582912,1,0.014976000413298607,840.205105017655
1024,12582912,2,0.013856000266969204,908.120074881633
