case_id,rank,M,fanout,wall_ms,layout_ms,dispatch_ms,expert_ms,combine_ms,correctness
balanced_fanout_F1_M512,0,512,1,2.001151978969574,0.036479998379945755,0.2045919974334538,0.9156799614429474,0.15329605340957642,True
balanced_fanout_F2_M512,0,512,2,1.7495200037956238,0.027615999802947044,0.2067040028050542,0.43273600935935974,0.9452479481697083,True
balanced_fanout_F4_M512,0,512,4,1.7343519926071167,0.027871999889612198,0.225360001437366,0.5183840095996857,0.9017440378665924,True
balanced_fanout_F1_M512,1,512,1,2.0130879878997803,0.03177599981427193,0.21220800140872598,0.9285919964313507,0.1548638939857483,True
balanced_fanout_F2_M512,1,512,2,1.740719974040985,0.028863999992609024,0.19971200125291944,0.8284159898757935,0.1268479824066162,True
balanced_fanout_F4_M512,1,512,4,1.7358880043029785,0.02659199945628643,0.2194399987347424,0.809520035982132,0.13753604888916016,True
balanced_fanout_F1_M512,2,512,1,1.9877920150756836,0.1154559999704361,0.18180799949914217,0.922432005405426,0.13473594188690186,True
balanced_fanout_F2_M512,2,512,2,1.7158400416374207,0.027712000533938408,0.17772799916565418,0.8531840443611145,0.11433601379394531,True
balanced_fanout_F4_M512,2,512,4,1.7228320240974426,0.02751999907195568,0.19873599940910935,0.7996000349521637,0.1236640214920044,True
balanced_fanout_F1_M512,3,512,1,1.9978399872779846,0.036479998379945755,0.18556799506768584,0.9233120083808899,0.14526402950286865,True
balanced_fanout_F2_M512,3,512,2,1.7310240268707275,0.025536000728607178,0.1939039984717965,0.7795999944210052,0.1457119584083557,True
balanced_fanout_F4_M512,3,512,4,1.7358400225639343,0.02579200081527233,0.2171040023677051,0.7741600573062897,0.1616160273551941,True
