case_id,M,fanout_ranks,total_assignments,active_experts,rank_assignments,route_sha256
balanced_fanout_F1_M512,512,1,4096,32,"[1024, 1024, 1024, 1024]",c21fe2c4aed0a91122a136df24d8547244addc0b45ddfbd88348c5c2bcb741e7
balanced_fanout_F2_M512,512,2,4096,64,"[1024, 1024, 1024, 1024]",3e7c2f02fb44e421d3739c72cf1131ae3a91a9a79df319c638c4f58e5d0b17a2
balanced_fanout_F4_M512,512,4,4096,128,"[1024, 1024, 1024, 1024]",1952501c7f40a1dbe97e3ccbda621bd6ef9233e415d5aed11f9e35fa7960a003
