layer,text_minus_visual_k,ci_low,ci_high,relative_gap
4,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
20,0.0014255167498217927,0.0,0.004276550249465378,0.0001781895937277241
24,0.1476919273394428,0.07381958837381555,0.23742694389993424,0.01846149091743035
28,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
