sample_id,layer,modality,stock_cosine,stock_relative_l2
astronaut,4,visual,0.9999960660934448,0.002792846644297242
astronaut,4,visual,0.9999960064888,0.002847171388566494
astronaut,4,visual,0.9999960660934448,0.0028178768698126078
astronaut,4,visual,0.9999962449073792,0.0027630338445305824
astronaut,4,visual,0.9999962449073792,0.002730567706748843
astronaut,4,visual,0.9999961853027344,0.0027630061376839876
astronaut,4,visual,0.9999963641166687,0.002726015169173479
astronaut,4,visual,0.9999967217445374,0.002582093933597207
astronaut,4,visual,0.9999966025352478,0.0025810622610151768
astronaut,4,visual,0.9999960064888,0.0028381957672536373
astronaut,4,visual,0.9999964237213135,0.002705145161598921
astronaut,4,visual,0.9999964237213135,0.002681171055883169
astronaut,4,visual,0.9999966621398926,0.0026142396964132786
astronaut,4,visual,0.9999967217445374,0.0026245093904435635
astronaut,4,visual,0.9999964237213135,0.002695908537134528
astronaut,4,visual,0.9999960660934448,0.0027875551022589207
astronaut,4,visual,0.9999957084655762,0.0029607685282826424
astronaut,4,visual,0.9999964833259583,0.0026716759894043207
astronaut,4,visual,0.9999966621398926,0.0025999806821346283
astronaut,4,visual,0.9999961256980896,0.0028145709075033665
astronaut,4,visual,0.9999956488609314,0.002916315570473671
astronaut,4,visual,0.9999963641166687,0.0027060064021497965
astronaut,4,visual,0.9999963641166687,0.0027068108320236206
astronaut,4,visual,0.9999964237213135,0.002687632106244564
astronaut,4,visual,0.9999968409538269,0.0025150030851364136
astronaut,4,visual,0.9999969601631165,0.0024308410938829184
astronaut,4,visual,0.9999964237213135,0.0027002114802598953
astronaut,4,visual,0.9999964833259583,0.0026331753470003605
astronaut,4,visual,0.9999961256980896,0.0027764318510890007
astronaut,4,visual,0.9999969005584717,0.002506799064576626
astronaut,4,visual,0.9999969601631165,0.0025110719725489616
astronaut,4,visual,0.9999963641166687,0.002749353414401412
astronaut,4,visual,0.9999962449073792,0.0027305877301841974
astronaut,4,visual,0.9999966025352478,0.0026065693236887455
astronaut,4,visual,0.9999963641166687,0.002689954126253724
astronaut,4,visual,0.9999962449073792,0.0027276885230094194
astronaut,4,visual,0.9999961256980896,0.0027771135792136192
astronaut,4,visual,0.999996542930603,0.002658209763467312
astronaut,4,visual,0.9999968409538269,0.00254866317845881
astronaut,4,visual,0.9999960660934448,0.002787066623568535
astronaut,4,visual,0.9999959468841553,0.002885903464630246
astronaut,4,visual,0.9999961853027344,0.002764821285381913
astronaut,4,visual,0.9999961853027344,0.0027490316424518824
astronaut,4,visual,0.9999962449073792,0.0028225048445165157
astronaut,4,visual,0.9999961853027344,0.0028358502313494682
astronaut,4,visual,0.9999964237213135,0.0026778774335980415
astronaut,4,visual,0.9999958872795105,0.002857024548575282
astronaut,4,visual,0.9999964237213135,0.0026972549967467785
astronaut,4,visual,0.9999958872795105,0.002865792019292712
astronaut,4,visual,0.9999963641166687,0.0026784888468682766
astronaut,4,visual,0.9999959468841553,0.0028422055765986443
astronaut,4,visual,0.9999968409538269,0.002558693289756775
astronaut,4,visual,0.9999960660934448,0.002828334691002965
astronaut,4,visual,0.9999962449073792,0.0027248512487858534
astronaut,4,visual,0.9999959468841553,0.002862381748855114
astronaut,4,visual,0.9999964237213135,0.002710705855861306
astronaut,4,visual,0.9999961256980896,0.0027982613537460566
astronaut,4,visual,0.9999960660934448,0.002833961509168148
astronaut,4,visual,0.9999964237213135,0.0026823992375284433
astronaut,4,visual,0.9999963045120239,0.002702470635995269
astronaut,4,visual,0.9999964237213135,0.002718235831707716
astronaut,4,visual,0.9999964833259583,0.0026109640020877123
astronaut,4,text,0.9999974370002747,0.002281404798850417
astronaut,8,visual,0.9999966621398926,0.0025741790886968374
astronaut,8,visual,0.9999958872795105,0.0028644343838095665
astronaut,8,visual,0.9999961853027344,0.002765433397144079
astronaut,8,visual,0.9999963045120239,0.002728134859353304
astronaut,8,visual,0.9999960064888,0.002855645027011633
astronaut,8,visual,0.9999961256980896,0.0027894119266420603
astronaut,8,visual,0.9999960660934448,0.00278355716727674
astronaut,8,visual,0.9999957084655762,0.00293168262578547
astronaut,8,visual,0.9999963045120239,0.002740803174674511
astronaut,8,visual,0.9999964237213135,0.0026772702112793922
astronaut,8,visual,0.9999959468841553,0.00283282482996583
astronaut,8,visual,0.9999963045120239,0.0027227341197431087
astronaut,8,visual,0.9999963641166687,0.0026835747994482517
astronaut,8,visual,0.9999960660934448,0.0028109659906476736
astronaut,8,visual,0.9999960064888,0.002839970402419567
astronaut,8,visual,0.9999961256980896,0.0028046134393662214
astronaut,8,visual,0.9999963641166687,0.002696873154491186
astronaut,8,visual,0.9999964237213135,0.0026222476735711098
astronaut,8,visual,0.9999963641166687,0.0027302848175168037
astronaut,8,visual,0.9999961853027344,0.0027811394538730383
astronaut,8,visual,0.9999960660934448,0.0028241085819900036
astronaut,8,visual,0.9999960660934448,0.0027941891457885504
astronaut,8,visual,0.9999964833259583,0.00268594641238451
astronaut,8,visual,0.9999961853027344,0.002762312302365899
astronaut,8,visual,0.9999962449073792,0.0027214055880904198
astronaut,8,visual,0.9999959468841553,0.0028666320722550154
astronaut,8,visual,0.999996542930603,0.0026313469279557467
astronaut,8,visual,0.9999961256980896,0.0027790849562734365
astronaut,8,visual,0.9999956488609314,0.002957883756607771
