region,modality,tokens,functional_k,pairwise_cosine,normalized_dispersion,participation_rank,router_effective_k,router_mass95_k
early,text,183,8.0,0.02963163066421668,0.9478403191097553,6.400754554442472,7.136160553560792,7.879781420765028
early,visual,3500,8.0,0.011580903618424522,0.9459407032134577,6.980276026484531,7.727204772689444,7.996571428571428
late,text,227,8.0,0.14343942752385094,0.9093576741570898,4.862759548319958,7.247231989921078,7.863436123348017
late,visual,4694,8.0,0.09722236473870285,0.9344116835305722,5.146448221017287,7.776643309912142,7.9925436727737535
middle,text,185,8.0,0.022505767696099504,0.9471350615590545,6.584143287659479,7.150267676874105,7.92972972972973
middle,visual,3448,7.949825986078887,0.012954632270055676,0.9645232469322339,6.1972073149127045,7.534574543523358,7.929814385150812
