sample_id,category,layer,region,position,modality,pairwise_cosine,normalized_dispersion,participation_rank,router_entropy,router_effective_k,router_mass95_k,functional_k,cosine_m1,relative_l2_m1,cosine_m2,relative_l2_m2,cosine_m3,relative_l2_m3,cosine_m4,relative_l2_m4,cosine_m6,relative_l2_m6,cosine_m8,relative_l2_m8
astronaut,natural,4,early,4,visual,0.010294922751953399,0.9472603941886575,6.833276620031445,2.0437657811222927,7.719624949011502,8,8,0.4747674476217124,2.1099737821988196,0.6050283044422393,1.377728923241846,0.7866691840581413,1.0258363468443625,0.8700975060428787,0.7328141535479042,0.9597450800061185,0.34868878872613523,0.9999999999994597,0.0
astronaut,natural,4,early,7,visual,0.010603587416903608,0.9536459674354502,6.288646734853292,2.031083217224098,7.622338536913422,8,8,0.4844222978566184,1.9904054251905723,0.7649947290502497,1.4747188604285095,0.8155612198788558,0.9988940746535777,0.8699584251640805,0.7084169616583451,0.9492947276249345,0.36672449199786394,0.9999999999994336,0.0
astronaut,natural,4,early,10,visual,0.008079612196231097,0.9376398516070088,7.5470508431097665,2.0738121110956746,7.955091079750028,8,8,0.40552252101651187,2.178641269348027,0.5129246113440228,1.4627850410049639,0.6604762036548891,1.1486359910631454,0.734587819020453,0.8958361391070978,0.8782434587869243,0.5384105938440854,0.9999999999989736,0.0
astronaut,natural,4,early,12,visual,0.014632388862834845,0.9316422966612913,7.640305275170504,2.055501923581555,7.81075729220382,8,8,0.496030250589088,2.448565661392723,0.613162627138418,1.4355372218066904,0.7124677945313718,1.026857632812173,0.7795194447953869,0.8047799047417442,0.9139494369203427,0.43974507185136635,0.9999999999990524,0.0
astronaut,natural,4,early,17,visual,0.011587586603111169,0.9330300730463122,7.704020797011389,1.945819341776366,6.999364377907362,8,8,0.5312680950915152,1.8515900105737901,0.7791000223290425,1.122706499889196,0.8996499077296117,0.6881413385126302,0.9322110232808384,0.48702709645020287,0.9842568587811085,0.2148686055618845,0.9999999999995745,0.0
astronaut,natural,4,early,21,visual,0.0021412485140810044,0.945606013034234,7.243179216348658,2.073196593217135,7.950196085597781,8,8,0.3863125818492375,2.376005541272435,0.6211877150528856,1.6389516110182825,0.753387773894475,1.207584255465294,0.8092502901331758,0.8890225746626621,0.9057440655634126,0.48467876148467964,0.9999999999992737,0.0
astronaut,natural,4,early,23,visual,0.008855995507589436,0.9359702981333639,7.671152089092449,2.0285298899063857,7.602901037411701,8,8,0.5774433769287626,2.243849989438796,0.7329539833149101,1.2785238595203485,0.7864818608141987,0.9649558142039527,0.8495418465422049,0.7434362721128704,0.9295659414417604,0.4170121590620374,0.999999999998961,0.0
astronaut,natural,4,early,28,visual,0.013962342381920997,0.9404514774112078,7.2465033373924035,2.0725893864245784,7.9453701378548525,8,8,0.5544637944929773,2.7656785724570647,0.6661962389044672,1.6676401268913263,0.7193895182526632,1.148354944687642,0.7886952376642513,0.8709374594172213,0.9199063521223002,0.46087044830252266,0.9999999999991376,0.0
astronaut,natural,4,early,30,visual,-0.0003446184391604216,0.9391856101887199,7.750070093724298,2.0736545927278422,7.95383810547301,8,8,0.40704339273444223,2.4015375553014673,0.6016683216067957,1.6396540567611229,0.6843846931052682,1.194653424591397,0.7815575703724359,0.9078464811096807,0.8952700589625616,0.5198886236693402,0.9999999999984491,0.0
astronaut,natural,4,early,36,visual,0.004411188666563156,0.9387077528437424,7.587630067361819,2.0626221868059513,7.866570406336589,8,8,0.42625890468983013,2.249172787730999,0.5753369367707037,1.4741593836293583,0.7262789462170244,1.0971377598761083,0.7927334446229445,0.8538874644980299,0.9114828764219575,0.46597329441152735,0.9999999999990996,0.0
astronaut,natural,4,early,37,visual,0.009697678630577944,0.9336471376110015,7.795204790932326,2.052832118049421,7.789931901416745,8,8,0.5246170690173232,2.5407266668012793,0.6784988667984491,1.4886704384771767,0.765844693083651,1.0685088223459502,0.8244532204842073,0.7878546472872602,0.943700876032244,0.3804996848564991,0.9999999999988594,0.0
astronaut,natural,4,early,40,visual,0.009848060633320109,0.9366563841939328,7.497761778988768,2.074521081701245,7.960733005233549,8,8,0.4574342037436578,2.4546390393087782,0.5896425521063214,1.6169234046659982,0.7009641901854439,1.1697885844080054,0.7674976950130294,0.8954899687170025,0.9087636652981678,0.5006904152474646,0.9999999999988689,0.0
