baseline,threshold_ms,event_count,event_fraction_pct,raw_latency_sum_ms,excess_latency_sum_ms,raw_fraction_of_total_pct,tail_excess_mass_pct
p25,5,675,0.7528104925053534,24120.60062122345,22365.112635180354,16.028391755564204,14.861851601596099
p25,10,196,0.21859386152748037,20760.9601020813,19775.3062864542,13.79587544121937,13.140898156850385
p25,20,88,0.09814418272662384,19144.811681747437,18354.085634976625,12.721927888128402,12.196482147866886
p25,50,56,0.06245538900785153,18128.70806503296,17454.417210906744,12.046716392001105,11.598643056811461
p25,100,40,0.04461099214846538,17005.1524810791,16696.73221695423,11.300101938175342,11.09515344222461
p25,ALL_POSITIVE_EXCESS,66760,74.45574589578872,127463.60731619596,59121.79787504673,,39.28705393847969
p50,5,675,0.7528104925053534,24120.60062122345,21906.24241808057,16.028391755564204,14.556927536058335
p50,10,196,0.21859386152748037,20760.9601020813,19563.260638266802,13.79587544121937,12.999991602632177
p50,20,88,0.09814418272662384,19144.811681747437,18209.981034249067,12.721927888128402,12.100723131310385
p50,50,56,0.06245538900785153,18128.70806503296,17350.3543305099,12.046716392001105,11.52949218281766
p50,100,40,0.04461099214846538,17005.1524810791,16635.42004057765,11.300101938175342,11.05441085882951
p50,ALL_POSITIVE_EXCESS,44824,49.991077801570306,101531.99761778116,42353.18471506238,,28.144134856719862
trimmed_mean,5,675,0.7528104925053534,24120.60062122345,21689.573689899968,16.028391755564204,14.412948896761815
trimmed_mean,10,196,0.21859386152748037,20760.9601020813,19389.63047899968,13.79587544121937,12.884612543171041
trimmed_mean,20,88,0.09814418272662384,19144.811681747437,18057.22808820861,12.721927888128402,11.999217198709408
trimmed_mean,50,56,0.06245538900785153,18128.70806503296,17248.53355476908,12.046716392001105,11.461831210851924
trimmed_mean,100,40,0.04461099214846538,17005.1524810791,16598.85333707759,11.300101938175342,11.030111901348626
trimmed_mean,ALL_POSITIVE_EXCESS,39622,44.18941827266239,97825.20165711641,40604.94185689526,,26.982409166111893
