dataset,baseline,removed_max_ms,n_without_max,max_without_single_outlier_excess_mass_pct
primary_stock,p25,2062.4560546875,89663,38.44407146578848
primary_stock,p50,2062.4560546875,89663,27.146334780763976
primary_stock,trimmed_mean,2062.4560546875,89663,25.968489221307152
old_fixed_shape,p25,1944.2371826171875,40127,32.09846131040466
old_fixed_shape,p50,1944.2371826171875,40127,12.721011213862067
old_fixed_shape,trimmed_mean,1944.2371826171875,40127,14.56189554567902
