dataset,codec,refresh_period,clean_e2e_ms,selected_layer_calibrated_dispatch_ms,selected_layer_observer_dispatch_ms_excluded,extrapolated_dispatch_share_pct,remote_cache_hit_fraction_effective,raw_dispatch_byte_saving_pct,payload_sensitive_gross_e2e_oracle_pct,unfused_codec_cost_selected_ms,feasible_e2e_oracle_pct,gate,evidence_boundary
gsm8k,fp8,2,5932.473182678223,43.7510174106526,8999.241084098816,4.719895106239105,0.42327259171545734,21.16362958577287,0.49992637688119435,12.81742042169528,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
gsm8k,int8_row_scaled,2,5932.473182678223,43.7510174106526,8999.241084098816,4.719895106239105,0.42327259171545734,21.15329578226419,0.4996960432006864,39.26244903748987,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
gsm8k,fp8,4,5932.473182678223,43.7510174106526,8999.241084098816,4.719895106239105,0.634908887573186,31.745444378659293,0.6856125122452171,12.567906693762668,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
gsm8k,int8_row_scaled,4,5932.473182678223,43.7510174106526,8999.241084098816,4.719895106239105,0.634908887573186,31.729943673396278,0.6854851391584631,39.38582980857872,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
gsm8k,fp8,8,5932.473182678223,43.7510174106526,8999.241084098816,4.719895106239105,0.7407270355020503,37.03635177510252,0.712725135768822,12.431706359088922,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
gsm8k,int8_row_scaled,8,5932.473182678223,43.7510174106526,8999.241084098816,4.719895106239105,0.7407270355020503,37.018267618962334,0.7126673298732977,39.43821155836321,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
gsm8k,fp8,16,5932.473182678223,43.7510174106526,8999.241084098816,4.719895106239105,0.7936361094664824,39.681805473324125,0.7209115531988486,12.36793273103577,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
gsm8k,int8_row_scaled,16,5932.473182678223,43.7510174106526,8999.241084098816,4.719895106239105,0.7936361094664824,39.66242959174535,0.7208512552805934,39.46247135656581,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
humaneval,fp8,2,7360.840559005737,52.30141503408714,9478.765773773193,4.547429787874268,0.4051426096063739,20.257130480318697,0.2334363326470544,16.903145186199296,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
humaneval,int8_row_scaled,2,7360.840559005737,52.30141503408714,9478.765773773193,4.547429787874268,0.4051426096063739,20.247239303326346,0.23332965032775907,51.709809020259414,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
humaneval,fp8,4,7360.840559005737,52.30141503408714,9478.765773773193,4.547429787874268,0.6077139144095609,30.385695720478047,0.3296902638250725,16.753479955753903,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
humaneval,int8_row_scaled,4,7360.840559005737,52.30141503408714,9478.765773773193,4.547429787874268,0.6077139144095609,30.370858954989533,0.32957078792402145,51.76866973907275,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
humaneval,fp8,8,7360.840559005737,52.30141503408714,9478.765773773193,4.547429787874268,0.7089995668111544,35.44997834055772,0.36270595014130036,16.63088716074335,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
humaneval,int8_row_scaled,8,7360.840559005737,52.30141503408714,9478.765773773193,4.547429787874268,0.7089995668111544,35.43266878082112,0.3626209866189266,51.79915907608513,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
humaneval,fp8,16,7360.840559005737,52.30141503408714,9478.765773773193,4.547429787874268,0.759642393011951,37.982119650597554,0.3738521060552146,16.562616314202153,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
humaneval,int8_row_scaled,16,7360.840559005737,52.30141503408714,9478.765773773193,4.547429787874268,0.759642393011951,37.963573693736905,0.3737753180044415,51.81353395554487,0.0,KILL,5 traced layers extrapolated to 32; clean request denominator; observer event timing; no accumulated-error quality credit
