dataset,lag,phase,waves_x_layers,remote_destinations,remote_cache_hit_fraction,same_expert_remote_fraction,same_rank_different_expert_fraction,hidden_cosine_p50_median,hidden_rel_l2_p50_median,fp8_reconstruction_rel_l2_p50_median,int8_reconstruction_rel_l2_p50_median,delta_lt_1e_2_fraction_median,delta_top10_energy_fraction_median,int8_symbol_entropy_bits_median
gsm8k,1,all,325,410427,0.8465451834309147,0.7879890942847327,0.058556089146181906,0.9627291560173035,0.2775021195411682,0.008982755243778229,0.0024760854430496693,0.1243896484375,0.44849953055381775,7.045435428619385
gsm8k,1,early,10,23357,0.43956843772744786,0.37316436186154045,0.06640407586590744,0.7718873620033264,0.6936994791030884,0.018445946276187897,0.005918572656810284,0.041498422622680664,0.4466363489627838,7.080352783203125
gsm8k,1,middle,135,278196,0.8472587672001035,0.7862298523343254,0.061028914865778085,0.9412749409675598,0.34305401146411896,0.010277824476361275,0.0031561959767714143,0.11495425552129745,0.44837573170661926,7.0514726638793945
gsm8k,1,late,180,108874,0.9320315226775906,0.8814776714367066,0.050553851240883955,0.9778300821781158,0.21349449455738068,0.007709709694609046,0.0020306785590946674,0.1336345672607422,0.44883501529693604,7.042463302612305
gsm8k,2,all,325,410427,0.7467661727907764,0.6661428219878321,0.08062335080294425,0.9222431182861328,0.40112125873565674,0.011707084253430367,0.0037885408382862806,0.08803558349609375,0.4474387764930725,7.028558731079102
gsm8k,2,early,10,23357,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
gsm8k,2,middle,135,278196,0.748749083380063,0.6602970567513552,0.08845202662870781,0.8768557906150818,0.4994141459465027,0.014467361383140087,0.004838655702769756,0.08037090301513672,0.44738346338272095,7.043901443481445
gsm8k,2,late,180,108874,0.901904954350901,0.8239891985230634,0.07791575582783769,0.9452133476734161,0.33926837146282196,0.010136658325791359,0.003070005215704441,0.0906837023794651,0.4476343244314194,7.02202844619751
gsm8k,4,all,325,410427,0.5750742519376162,0.4749955534114471,0.10007869852616909,0.8053382635116577,0.629449188709259,0.017863448709249496,0.006205526180565357,0.06554412841796875,0.44711822271347046,7.003525733947754
gsm8k,4,early,10,23357,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
gsm8k,4,middle,135,278196,0.5209169075040618,0.4211095774202361,0.0998073300838258,0.7092772722244263,0.7756175398826599,0.02010442689061165,0.007260394748300314,0.05669313296675682,0.4474085867404938,7.0161519050598145
gsm8k,4,late,180,108874,0.836829729779378,0.7145875048220879,0.12224222495729008,0.8772445917129517,0.5105279088020325,0.01448003388941288,0.005105599528178573,0.06642429158091545,0.4468284845352173,6.970196485519409
humaneval,1,all,425,364737,0.8102852192127478,0.7280149806572955,0.08227023855545229,0.9493135213851929,0.3220809996128082,0.010281404480338097,0.0029988056048750877,0.11556948721408844,0.44889119267463684,7.045136451721191
humaneval,1,early,5,11781,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
humaneval,1,middle,290,306840,0.8253617520531873,0.7406270368921913,0.08473471516099595,0.9316959381103516,0.3708786964416504,0.01127203181385994,0.0033919429406523705,0.10277727246284485,0.44863635301589966,7.048094749450684
humaneval,1,late,130,46116,0.916970248937462,0.8300806661462399,0.08688958279122214,0.983244389295578,0.18410243093967438,0.007356234826147556,0.001803940860554576,0.1416505202651024,0.4494924247264862,7.03672194480896
humaneval,2,all,425,364737,0.6886468880316502,0.592051258852269,0.0965956291793813,0.8945168256759644,0.462350070476532,0.013459187000989914,0.00436197267845273,0.08229370415210724,0.4476872384548187,7.023567199707031
humaneval,2,early,5,11781,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
humaneval,2,middle,290,306840,0.6899784904184592,0.591842654152001,0.0981358362664581,0.8689489960670471,0.516844630241394,0.01575404778122902,0.005197892431169748,0.0736677423119545,0.4476921558380127,7.027120590209961
humaneval,2,late,130,46116,0.8557116835805361,0.7446873102610807,0.11102437331945529,0.9632003307342529,0.2838757336139679,0.009265154600143433,0.002613322576507926,0.10110746324062347,0.4476407915353775,7.012257099151611
humaneval,4,all,425,364737,0.5131615383139084,0.4092812081033731,0.10388033021053526,0.7786910533905029,0.6719300150871277,0.018672659993171692,0.006589391268789768,0.058585356920957565,0.44776880741119385,6.975566387176514
humaneval,4,early,5,11781,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
humaneval,4,middle,290,306840,0.5073621431364881,0.4029722330856472,0.10438991005084083,0.7171423137187958,0.7540584802627563,0.02001962810754776,0.007500662002712488,0.052400970831513405,0.44765491783618927,6.976490497589111
humaneval,4,late,130,46116,0.682843264810478,0.555815768930523,0.1270274958799549,0.9109312295913696,0.4185824394226074,0.012253240682184696,0.004321542102843523,0.07014720141887665,0.448061466217041,6.967672348022461
