dataset,topology,waves,stage_proxy_sequential_ms,ideal_pipeline_makespan_ms,ideal_backbone_speedup,observer_backbone_fraction,amdahl_request_speedup_ceiling,request_latency_reduction_ceiling_pct,evidence_boundary
gsm8k,PP2_boundary16,65,10481.299465321004,5890.898429147899,1.7792361541085158,0.78210678541608,1.520987307655702,34.25323176816641,measured TP4+EP4 per-layer replay proxy; timestep dependencies hypothetically removed; not live PP
gsm8k,PP4_equal8,65,10481.299465321004,3370.970597937703,3.1092823745580183,0.78210678541608,2.13023154262462,53.05674618037446,measured TP4+EP4 per-layer replay proxy; timestep dependencies hypothetically removed; not live PP
humaneval,PP2_boundary16,85,12744.238395825028,6820.35279121995,1.868559997692653,0.75112828755835,1.5364425537814992,34.91458580479982,measured TP4+EP4 per-layer replay proxy; timestep dependencies hypothetically removed; not live PP
humaneval,PP4_equal8,85,12744.238395825028,3713.2714160978794,3.4320783394868055,0.75112828755835,2.1379995751812007,53.227305954200325,measured TP4+EP4 per-layer replay proxy; timestep dependencies hypothetically removed; not live PP
