task,policy,score,total,relative_quality_pct,baseline_score,sequence_exact,sequence_exact_pct,benchmark_pass_agreement,nfe,nfe_delta,model_seconds_observer,stale_row_fraction,ideal_backbone_speedup_for_cut,predicted_request_speedup_upper,predicted_request_latency_reduction_pct,evidence_boundary
gsm8k,baseline,5,32,100.0,5,32,100.0,32,66,0,5.970254182815552,0.0,1.0,1.0,0.0,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp2_b15_w0_k0,4,32,80.0,5,2,6.25,31,92,26,6.800313234329224,0.9366197183098591,1.7792361541085158,1.1615811406518863,13.910448008927379,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp2_b15_w4_k0,5,32,100.0,5,6,18.75,32,80,14,5.907858848571777,0.7201438848920864,1.7792361541085158,1.1535297261361137,13.309559576793916,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp2_b15_w4_k2,4,32,80.0,5,7,21.875,31,68,2,5.0161895751953125,0.3219063545150502,1.7792361541085158,1.098785710814029,8.990443709069007,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp2_b15_w4_k4,5,32,100.0,5,4,12.5,32,76,10,5.580970048904419,0.49414519906323184,1.7792361541085158,1.0827259265474065,7.64052328655348,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp2_b15_w8_k0,4,32,80.0,5,7,21.875,31,75,9,5.493992328643799,0.4286833855799373,1.7792361541085158,1.0640678896156122,6.021034018680538,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_all_w0_k0,3,32,60.0,5,0,0.0,28,118,52,8.86894416809082,0.9566170026292725,3.1092823745580183,1.4108994562861472,29.123227346599244,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_all_w4_k0,4,32,80.0,5,1,3.125,31,99,33,7.419457197189331,0.7852422907488987,3.1092823745580183,1.3052830119016168,23.38826209473619,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_all_w4_k2,5,32,100.0,5,4,12.5,32,66,0,4.950588941574097,0.32926829268292684,3.1092823745580183,1.211679194930727,17.4699042301233,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_all_w4_k4,4,32,80.0,5,1,3.125,31,88,22,6.587876081466675,0.5231607629427792,3.1092823745580183,1.1228307725029467,10.939384234112126,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_all_w4_k4_early,5,32,100.0,5,32,100.0,32,66,0,4.949325323104858,0.0,3.1092823745580183,1.0,0.0,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_all_w4_k4_late,7,32,140.0,5,11,34.375,30,71,5,5.313524484634399,0.1891891891891892,3.1092823745580183,1.0512278905150534,4.873147961281177,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_all_w4_k4_middle,3,32,60.0,5,2,6.25,30,73,7,5.491469383239746,0.33064516129032256,3.1092823745580183,1.1249669669982554,11.10850101951919,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_all_w4_k8,6,32,120.0,5,2,6.25,31,83,17,6.2232115268707275,0.6395631067961165,3.1092823745580183,1.2907941989802962,22.528316226554036,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_all_w8_k0,4,32,80.0,5,5,15.625,31,78,12,5.851161003112793,0.49726027397260275,3.1092823745580183,1.204236021627449,16.959800069046004,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_b15_w4_k4,5,32,100.0,5,4,12.5,32,76,10,5.605910062789917,0.49414519906323184,1.7792361541085158,1.0827259265474065,7.64052328655348,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_b23_w4_k4,5,32,100.0,5,5,15.625,32,69,3,5.096876621246338,0.49497293116782676,1.3141944506167436,1.065199508001489,6.1208728986192895,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
gsm8k,pp4_b7_w4_k4,5,32,100.0,5,3,9.375,32,73,7,5.374400615692139,0.4840510366826156,1.3170775508825123,1.0181808253821765,1.785618519711596,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
humaneval,baseline,6,32,100.0,6,32,100.0,32,86,0,12.53769850730896,0.0,1.0,1.0,0.0,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
humaneval,pp2_b15_w0_k0,3,32,50.0,6,7,21.875,29,122,36,8.973364353179932,0.9100219458668617,1.868559997692653,1.1578201739460778,13.630801872124554,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
humaneval,pp2_b15_w4_k0,7,32,116.66666666666667,6,11,34.375,31,137,51,10.119005918502808,0.6516393442622951,1.868559997692653,0.923364114614377,-8.299638698611144,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
humaneval,pp2_b15_w4_k2,6,32,100.0,6,12,37.5,32,97,11,7.119391679763794,0.292772186642269,1.868559997692653,1.0195969845789903,1.9220324182384951,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
humaneval,pp2_b15_w4_k4,6,32,100.0,6,12,37.5,32,124,38,9.237446784973145,0.45153061224489793,1.868559997692653,0.9053177667637606,-10.45845301089141,"quality measured on sequential stale-boundary emulator; speed is stage-trace analytical upper, not live PP"
