topology,request_id,volume,workload,modality,image_count,iteration,wall_ms,prompt_tokens,output_token_ids
tp_only,small_text_heavy,small,text_heavy,text_heavy,0,0,135.237232,257,[2132]
tp_only,medium_text_heavy,medium,text_heavy,text_heavy,0,0,192.480625,1024,[2132]
tp_only,large_text_heavy,large,text_heavy,text_heavy,0,0,436.521048,4105,[2132]
tp_only,small_mixed,small,mixed,mixed,1,0,219.114778,299,[785]
tp_only,medium_mixed,medium,mixed,mixed,2,0,521.446442,2089,[40]
tp_only,large_mixed,large,mixed,mixed,4,0,1282.2321,5932,[40]
tp_only,small_vision_heavy,small,vision_heavy,vision_heavy,1,0,154.046701,234,[785]
tp_only,medium_vision_heavy,medium,vision_heavy,vision_heavy,2,0,471.20765,1647,[785]
tp_only,large_vision_heavy,large,vision_heavy,vision_heavy,6,0,1782.17448,7463,[785]
tp_only,small_text_heavy,small,text_heavy,text_heavy,0,1,126.220871,257,[2132]
tp_only,medium_text_heavy,medium,text_heavy,text_heavy,0,1,183.619545,1024,[2132]
tp_only,large_text_heavy,large,text_heavy,text_heavy,0,1,438.20012,4105,[2132]
tp_only,small_mixed,small,mixed,mixed,1,1,169.035553,299,[785]
tp_only,medium_mixed,medium,mixed,mixed,2,1,522.125026,2089,[40]
tp_only,large_mixed,large,mixed,mixed,4,1,1288.615674,5932,[40]
tp_only,small_vision_heavy,small,vision_heavy,vision_heavy,1,1,158.901966,234,[785]
tp_only,medium_vision_heavy,medium,vision_heavy,vision_heavy,2,1,458.47278,1647,[785]
tp_only,large_vision_heavy,large,vision_heavy,vision_heavy,6,1,1767.429302,7463,[785]
