sample_id,layer,modality,stock_cosine,stock_relative_l2
astronaut,4,text,0.999995768070221,0.002885963534936309
astronaut,4,visual,0.9999960660934448,0.002792846644297242
astronaut,4,visual,0.9999960064888,0.002847171388566494
astronaut,4,visual,0.9999960660934448,0.0028178768698126078
astronaut,4,visual,0.9999962449073792,0.0027630338445305824
astronaut,4,visual,0.9999962449073792,0.002730567706748843
astronaut,4,visual,0.9999961853027344,0.0027630061376839876
astronaut,4,visual,0.9999963641166687,0.002726015169173479
astronaut,4,visual,0.9999967217445374,0.002582093933597207
astronaut,4,visual,0.9999966025352478,0.0025810622610151768
astronaut,4,visual,0.9999960064888,0.0028381957672536373
astronaut,4,visual,0.9999964237213135,0.002705145161598921
astronaut,4,visual,0.9999964237213135,0.002681171055883169
astronaut,4,visual,0.9999966621398926,0.0026142396964132786
astronaut,4,visual,0.9999967217445374,0.0026245093904435635
astronaut,4,visual,0.9999964237213135,0.002695908537134528
astronaut,4,visual,0.9999960660934448,0.0027875551022589207
astronaut,4,visual,0.9999957084655762,0.0029607685282826424
astronaut,4,visual,0.9999964833259583,0.0026716759894043207
astronaut,4,visual,0.9999966621398926,0.0025999806821346283
astronaut,4,visual,0.9999961256980896,0.0028145709075033665
astronaut,4,visual,0.9999956488609314,0.002916315570473671
astronaut,4,visual,0.9999963641166687,0.0027060064021497965
astronaut,4,visual,0.9999963641166687,0.0027068108320236206
astronaut,4,visual,0.9999964237213135,0.002687632106244564
astronaut,4,visual,0.9999968409538269,0.0025150030851364136
astronaut,4,visual,0.9999969601631165,0.0024308410938829184
astronaut,4,visual,0.9999964237213135,0.0027002114802598953
astronaut,4,visual,0.9999964833259583,0.0026331753470003605
astronaut,4,visual,0.9999961256980896,0.0027764318510890007
astronaut,4,visual,0.9999969005584717,0.002506799064576626
astronaut,4,visual,0.9999969601631165,0.0025110719725489616
astronaut,4,visual,0.9999963641166687,0.002749353414401412
astronaut,4,visual,0.9999962449073792,0.0027305877301841974
astronaut,4,visual,0.9999966025352478,0.0026065693236887455
astronaut,4,visual,0.9999963641166687,0.002689954126253724
astronaut,4,visual,0.9999962449073792,0.0027276885230094194
astronaut,4,visual,0.9999961256980896,0.0027771135792136192
astronaut,4,visual,0.999996542930603,0.002658209763467312
astronaut,4,visual,0.9999968409538269,0.00254866317845881
astronaut,4,visual,0.9999960660934448,0.002787066623568535
astronaut,4,visual,0.9999959468841553,0.002885903464630246
astronaut,4,visual,0.9999961853027344,0.002764821285381913
astronaut,4,visual,0.9999961853027344,0.0027490316424518824
astronaut,4,visual,0.9999962449073792,0.0028225048445165157
