modality,scope,surrogate,tokens,cosine_mean,relative_l2_mean,relative_l2_p90
text,top4,random_same_expert,26,0.8919113330599869,0.4032355182148165,0.7630978582511239
text,top4,same_expert_mean,26,0.9410229778493454,0.2853354826887507,0.5227204884213648
text,top4,spatial_neighbor,26,0.9410229778493454,0.2853354826887507,0.5227204884213648
text,top6,random_same_expert,26,0.953427655869945,0.20196591627980084,0.6023633242598021
text,top6,same_expert_mean,26,0.9714116559502043,0.1757761923015824,0.4179101041266403
text,top6,spatial_neighbor,26,0.9714116559502043,0.1757761923015824,0.4179101041266403
text,top7,random_same_expert,26,0.971006092523938,0.17099893648628425,0.4478813412481232
text,top7,same_expert_mean,26,0.9836828800201615,0.13087807049664435,0.3420207475318573
text,top7,spatial_neighbor,26,0.9836828800201615,0.13087807049664435,0.3420207475318573
visual,top4,random_same_expert,447,0.8748954191388089,0.44957751044406996,0.7417763324558089
visual,top4,same_expert_mean,447,0.9371183013469578,0.31404197286042274,0.49693922297914755
visual,top4,spatial_neighbor,447,0.8657249431851299,0.46999191892482534,0.765853424344278
visual,top6,random_same_expert,447,0.9422795013170701,0.29254142524100496,0.5366175052628473
visual,top6,same_expert_mean,447,0.9720954464400184,0.2085011845473636,0.347199094498514
visual,top6,spatial_neighbor,447,0.9365293056113808,0.316459399915335,0.532458186410623
visual,top7,random_same_expert,447,0.9721925800776332,0.18585865159965048,0.3748219843495343
visual,top7,same_expert_mean,447,0.98675172101444,0.1388849909306004,0.2464743522368668
visual,top7,spatial_neighbor,447,0.9694182946408639,0.21096232663464054,0.3742120183671318
