sample,layer,position,modality,scope,surrogate,cosine,relative_l2
astronaut,4,1,text,top4,same_expert_mean,0.7624148660858091,0.6484769488668688
astronaut,4,1,text,top4,spatial_neighbor,0.7624148660858091,0.6484769488668688
astronaut,4,1,text,top4,random_same_expert,0.6026466922870513,0.8572943824030247
astronaut,4,1,text,top6,same_expert_mean,0.8676919702279575,0.49710275388389613
astronaut,4,1,text,top6,spatial_neighbor,0.8676919702279575,0.49710275388389613
astronaut,4,1,text,top6,random_same_expert,0.772363265589022,0.6462955661408792
astronaut,4,1,text,top7,same_expert_mean,0.913999783746499,0.4057755932823886
astronaut,4,1,text,top7,spatial_neighbor,0.913999783746499,0.4057755932823886
astronaut,4,1,text,top7,random_same_expert,0.8593108963552288,0.5186351877562458
astronaut,4,4,visual,top4,same_expert_mean,0.9106437856281709,0.41348741559975893
astronaut,4,4,visual,top4,spatial_neighbor,0.8550594743185546,0.5276766831981257
astronaut,4,4,visual,top4,random_same_expert,0.8426295209884301,0.5496198218045881
astronaut,4,4,visual,top6,same_expert_mean,0.9702864092444594,0.24221488376338565
astronaut,4,4,visual,top6,spatial_neighbor,0.9458759031918845,0.32697708177617385
astronaut,4,4,visual,top6,random_same_expert,0.9409101290489108,0.33977366633542844
astronaut,4,4,visual,top7,same_expert_mean,0.987236644691474,0.1593181606239217
astronaut,4,4,visual,top7,spatial_neighbor,0.9819749511478688,0.1894145694087443
astronaut,4,4,visual,top7,random_same_expert,0.9745329160118411,0.22467981010837962
astronaut,4,7,visual,top4,same_expert_mean,0.9480480582502415,0.3184188582192249
astronaut,4,7,visual,top4,spatial_neighbor,0.9057638255352092,0.43871947367467606
astronaut,4,7,visual,top4,random_same_expert,0.8856111830042361,0.4752757958226753
astronaut,4,7,visual,top6,same_expert_mean,0.9801566596273175,0.19826555889643888
astronaut,4,7,visual,top6,spatial_neighbor,0.9640401878306192,0.26717589014288023
astronaut,4,7,visual,top6,random_same_expert,0.9622216761726288,0.27380743116512835
astronaut,4,7,visual,top7,same_expert_mean,0.9999999999994336,0.0
astronaut,4,7,visual,top7,spatial_neighbor,0.9999999999994336,0.0
astronaut,4,7,visual,top7,random_same_expert,0.9999999999994336,0.0
astronaut,4,10,visual,top4,same_expert_mean,0.8609443106662326,0.5089042571860466
astronaut,4,10,visual,top4,spatial_neighbor,0.6610175143996381,0.8430805805220533
astronaut,4,10,visual,top4,random_same_expert,0.6681972053581559,0.8075672176367198
astronaut,4,10,visual,top6,same_expert_mean,0.9191543159270813,0.39392255274810006
astronaut,4,10,visual,top6,spatial_neighbor,0.8092444982160509,0.6294488526705613
astronaut,4,10,visual,top6,random_same_expert,0.8216657568179215,0.5970115586080716
astronaut,4,10,visual,top7,same_expert_mean,0.9543099866970215,0.29894619793442384
astronaut,4,10,visual,top7,spatial_neighbor,0.9078812183783824,0.4265607371372205
astronaut,4,10,visual,top7,random_same_expert,0.9191605830022914,0.3974423781833952
astronaut,4,12,visual,top4,same_expert_mean,0.8596949907546677,0.5108259704303624
astronaut,4,12,visual,top4,spatial_neighbor,0.7395717718041902,0.7078688045912699
astronaut,4,12,visual,top4,random_same_expert,0.7710609435360447,0.6615384889372188
astronaut,4,12,visual,top6,same_expert_mean,0.9421409425993474,0.3354017762454229
astronaut,4,12,visual,top6,spatial_neighbor,0.8807117210320834,0.48406710736956193
astronaut,4,12,visual,top6,random_same_expert,0.8483925676577067,0.545202172217254
astronaut,4,12,visual,top7,same_expert_mean,0.9668382313487689,0.25541461174246033
astronaut,4,12,visual,top7,spatial_neighbor,0.9317824624649491,0.3705335029070018
astronaut,4,12,visual,top7,random_same_expert,0.935586265309401,0.3572761014549116
astronaut,4,17,visual,top4,same_expert_mean,0.9622624686691212,0.27384563023920716
astronaut,4,17,visual,top4,spatial_neighbor,0.9393002668137513,0.34411340962502485
astronaut,4,17,visual,top4,random_same_expert,0.9311433897452464,0.3654600130638639
astronaut,4,17,visual,top6,same_expert_mean,0.9924541258838284,0.12262452153380095
astronaut,4,17,visual,top6,spatial_neighbor,0.9813500699647083,0.192675862114336
astronaut,4,17,visual,top6,random_same_expert,0.992492295393887,0.12263184909276818
astronaut,4,17,visual,top7,same_expert_mean,0.9981186584512163,0.06131592454638409
