sample_id,category,layer,position,modality,router_entropy,router_effective_k,active_expert_count,token_fanout,method,variant,selected_k,router_mass,cosine,relative_l2,quality_pass
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,top1,plain,1,0.8981281357842154,0.38105744744300063,0.9255407280610549,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,top1,renormalized,1,0.8981281357842154,0.3810574474470616,0.9290050892157508,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,top2,plain,2,0.9133417042845567,0.5215600084547516,0.853519938557334,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,top2,renormalized,2,0.9133417042845567,0.5215600084584329,0.8564592426492745,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,top4,plain,4,0.9428326981396418,0.7273898743589089,0.6862778842556125,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,top4,renormalized,4,0.9428326981396418,0.727389874361414,0.6882826629002688,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,top6,plain,6,0.9714163490698209,0.8376770252278597,0.5461982443035425,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,top6,renormalized,6,0.9714163490698209,0.8376770252291182,0.5470317845830079,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,top7,plain,7,0.9857081745349104,0.9127761806967106,0.4084629445736744,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,top7,renormalized,7,0.9857081745349104,0.9127761806973455,0.4086271860235245,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,mass70,plain,1,0.8981281357842154,0.38105744744300063,0.9255407280610549,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,mass70,renormalized,1,0.8981281357842154,0.3810574474470616,0.9290050892157508,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,mass80,plain,1,0.8981281357842154,0.38105744744300063,0.9255407280610549,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,mass80,renormalized,1,0.8981281357842154,0.3810574474470616,0.9290050892157508,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,mass90,plain,2,0.9133417042845567,0.5215600084547516,0.853519938557334,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,mass90,renormalized,2,0.9133417042845567,0.5215600084584329,0.8564592426492745,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,mass95,plain,5,0.9571245236047313,0.789110030111109,0.6142581827883533,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,mass95,renormalized,5,0.9571245236047313,0.7891100301130035,0.6154421812974074,False
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,mass99,plain,8,1.0,0.9999999999556597,0.0,True
astronaut,natural,4,1,text,0.5273832678794861,1.694492469344433,8,4,mass99,renormalized,8,1.0,0.9999999999556597,0.0,True
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,top1,plain,1,0.20069950375628864,0.4747674476212854,0.8801277888151152,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,top1,renormalized,1,0.20069950375628864,0.4747674476217124,2.1099737821988196,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,top2,plain,2,0.34984670913910093,0.6050283044418878,0.7962039631001475,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,top2,renormalized,2,0.34984670913910093,0.6050283044422393,1.377728923241846,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,top4,plain,4,0.60502259608476,0.8700975060426612,0.49312539485651563,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,top4,renormalized,4,0.60502259608476,0.8700975060428787,0.7328141535479041,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,top6,plain,6,0.8185228685264295,0.9597450800060197,0.2809178107044168,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,top6,renormalized,6,0.8185228685264295,0.9597450800061185,0.3486887887261352,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,top7,plain,7,0.9163359956022499,0.985139570768006,0.17178554692844517,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,top7,renormalized,7,0.9163359956022499,0.9851395707680515,0.19228636870288213,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,mass70,plain,5,0.7176048161330351,0.9114108810147226,0.4117069025378743,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,mass70,renormalized,5,0.7176048161330351,0.9114108810148773,0.5340225201023647,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,mass80,plain,6,0.8185228685264295,0.9597450800060197,0.2809178107044168,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,mass80,renormalized,6,0.8185228685264295,0.9597450800061185,0.3486887887261352,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,mass90,plain,7,0.9163359956022499,0.985139570768006,0.17178554692844517,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,mass90,renormalized,7,0.9163359956022499,0.9851395707680515,0.19228636870288213,False
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,mass95,plain,8,1.0,0.9999999999994597,0.0,True
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,mass95,renormalized,8,1.0,0.9999999999994597,0.0,True
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,mass99,plain,8,1.0,0.9999999999994597,0.0,True
astronaut,natural,4,4,visual,2.0437657833099365,7.719624965899292,8,4,mass99,renormalized,8,1.0,0.9999999999994597,0.0,True
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,top1,plain,1,0.22339044852029483,0.48442229785619845,0.8751413266370445,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,top1,renormalized,1,0.22339044852029483,0.4844222978566184,1.9904054251905723,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,top2,plain,2,0.36538605406319047,0.7649947290498896,0.6440369593805793,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,top2,renormalized,2,0.36538605406319047,0.7649947290502497,1.4747188604285095,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,top4,plain,4,0.6181658044444311,0.8699584251638598,0.49344535083742763,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,top4,renormalized,4,0.6181658044444311,0.8699584251640805,0.7084169616583451,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,top6,plain,6,0.8166414945055279,0.9492947276248281,0.3150151517722968,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,top6,renormalized,6,0.8166414945055279,0.9492947276249345,0.36672449199786394,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,top7,plain,7,0.9083207472527639,0.9776177053473702,0.21069177374115508,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,top7,renormalized,7,0.9083207472527639,0.9776177053474228,0.2273811479589437,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,mass70,plain,5,0.7220520223868806,0.9148280551232362,0.40497599154421865,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,mass70,renormalized,5,0.7220520223868806,0.914828055123399,0.50925367242144,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,mass80,plain,6,0.8166414945055279,0.9492947276248281,0.3150151517722968,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,mass80,renormalized,6,0.8166414945055279,0.9492947276249345,0.36672449199786394,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,mass90,plain,7,0.9083207472527639,0.9776177053473702,0.21069177374115508,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,mass90,renormalized,7,0.9083207472527639,0.9776177053474228,0.2273811479589437,False
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,mass95,plain,8,1.0,0.9999999999994336,0.0,True
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,mass95,renormalized,8,1.0,0.9999999999994336,0.0,True
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,mass99,plain,8,1.0,0.9999999999994336,0.0,True
astronaut,natural,4,7,visual,2.031083106994629,7.622337696707138,8,4,mass99,renormalized,8,1.0,0.9999999999994336,0.0,True
