case_id,task,phase,scope,total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
dense_000_real,gsm8k,early,measured_dense_runtime,1015,53,11,real,19.150943396226417,1,135,1.2120669384134413,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4634741418717567e-08,0.0028177937492728233,0.9999961853027344
dense_000_real,gsm8k,early,measured_dense_runtime,1015,53,11,real,19.150943396226417,1,135,1.2120669384134413,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4634741418717567e-08,0.0028177937492728233,0.9999961853027344
dense_001_real,gsm8k,early,measured_dense_runtime,1937,49,15,real,39.53061224489796,1,534,2.1061012435708184,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.457401399562741e-08,0.0028159727808088064,0.9999960660934448
dense_001_real,gsm8k,early,measured_dense_runtime,1937,49,15,real,39.53061224489796,1,534,2.1061012435708184,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.457401399562741e-08,0.0028159727808088064,0.9999960660934448
dense_002_real,gsm8k,early,measured_dense_runtime,3181,35,29,real,90.88571428571429,1,749,1.8545389599707616,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4676884596553919e-08,0.002819799119606614,0.9999960660934448
dense_002_real,gsm8k,early,measured_dense_runtime,3181,35,29,real,90.88571428571429,1,749,1.8545389599707616,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4676884596553919e-08,0.002819799119606614,0.9999960660934448
dense_003_real,gsm8k,late,measured_dense_runtime,57,12,52,real,4.75,1,14,0.8470251020753201,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.6379454237380742e-08,0.0028205541893839836,0.9999961853027344
dense_003_real,gsm8k,late,measured_dense_runtime,57,12,52,real,4.75,1,14,0.8470251020753201,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.6379454237380742e-08,0.0028205541893839836,0.9999961853027344
dense_004_real,gsm8k,late,measured_dense_runtime,357,53,11,real,6.735849056603773,1,25,0.801375055034001,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.429287799226131e-08,0.0028175762854516506,0.9999961256980896
dense_004_real,gsm8k,late,measured_dense_runtime,357,53,11,real,6.735849056603773,1,25,0.801375055034001,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.429287799226131e-08,0.0028175762854516506,0.9999961256980896
dense_005_real,gsm8k,late,measured_dense_runtime,1224,45,19,real,27.2,1,174,1.4328407055582997,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4605367582021245e-08,0.0028248934540897608,0.9999960660934448
dense_005_real,gsm8k,late,measured_dense_runtime,1224,45,19,real,27.2,1,174,1.4328407055582997,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4605367582021245e-08,0.0028248934540897608,0.9999960660934448
dense_006_real,gsm8k,middle,measured_dense_runtime,1029,49,15,real,21.0,1,167,1.6085810431472274,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4577683948857612e-08,0.0028239840175956488,0.9999960660934448
dense_006_real,gsm8k,middle,measured_dense_runtime,1029,49,15,real,21.0,1,167,1.6085810431472274,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4577683948857612e-08,0.0028239840175956488,0.9999960660934448
dense_007_real,gsm8k,middle,measured_dense_runtime,1753,46,18,real,38.108695652173914,1,242,1.544090647104201,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4622981936440738e-08,0.002821227302774787,0.9999960064888
dense_007_real,gsm8k,middle,measured_dense_runtime,1753,46,18,real,38.108695652173914,1,242,1.544090647104201,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4622981936440738e-08,0.002821227302774787,0.9999960064888
dense_008_real,gsm8k,middle,measured_dense_runtime,2683,49,15,real,54.755102040816325,1,266,1.2823194372830053,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4797786995757178e-08,0.002823258750140667,0.9999960064888
dense_008_real,gsm8k,middle,measured_dense_runtime,2683,49,15,real,54.755102040816325,1,266,1.2823194372830053,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4797786995757178e-08,0.002823258750140667,0.9999960064888
dense_009_real,humaneval,early,measured_dense_runtime,1237,47,17,real,26.319148936170212,1,404,2.8609917253951522,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4359167188615629e-08,0.002824308816343546,0.9999960660934448
dense_009_real,humaneval,early,measured_dense_runtime,1237,47,17,real,26.319148936170212,1,404,2.8609917253951522,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4359167188615629e-08,0.002824308816343546,0.9999960660934448
dense_010_real,humaneval,early,measured_dense_runtime,1965,44,20,real,44.65909090909091,1,855,3.276167937789007,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4647578261417493e-08,0.002818100852891803,0.9999960660934448
dense_010_real,humaneval,early,measured_dense_runtime,1965,44,20,real,44.65909090909091,1,855,3.276167937789007,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4647578261417493e-08,0.002818100852891803,0.9999960660934448
dense_011_real,humaneval,early,measured_dense_runtime,3003,61,3,real,49.22950819672131,1,521,2.1658296602899183,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4802398418112261e-08,0.0028192598838359118,0.9999961256980896
dense_011_real,humaneval,early,measured_dense_runtime,3003,61,3,real,49.22950819672131,1,521,2.1658296602899183,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4802398418112261e-08,0.0028192598838359118,0.9999961256980896
dense_012_real,humaneval,late,measured_dense_runtime,52,16,48,real,3.25,1,12,0.982088102677208,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.57190847005495e-08,0.0028223369736224413,0.9999961853027344
dense_012_real,humaneval,late,measured_dense_runtime,52,16,48,real,3.25,1,12,0.982088102677208,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.57190847005495e-08,0.0028223369736224413,0.9999961853027344
dense_013_real,humaneval,late,measured_dense_runtime,151,46,18,real,3.282608695652174,1,13,0.9751304258390485,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4815956461688984e-08,0.0028093864675611258,0.9999960660934448
dense_013_real,humaneval,late,measured_dense_runtime,151,46,18,real,3.282608695652174,1,13,0.9751304258390485,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4815956461688984e-08,0.0028093864675611258,0.9999960660934448
dense_014_real,humaneval,late,measured_dense_runtime,932,58,6,real,16.06896551724138,1,80,1.1483032931810604,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4799671710363782e-08,0.00282602128572762,0.9999960660934448
dense_014_real,humaneval,late,measured_dense_runtime,932,58,6,real,16.06896551724138,1,80,1.1483032931810604,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4799671710363782e-08,0.00282602128572762,0.9999960660934448
dense_015_real,humaneval,middle,measured_dense_runtime,163,39,25,real,4.17948717948718,1,14,0.8478696295144327,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.45420573360866e-08,0.002825588220730424,0.9999959468841553
dense_015_real,humaneval,middle,measured_dense_runtime,163,39,25,real,4.17948717948718,1,14,0.8478696295144327,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.45420573360866e-08,0.002825588220730424,0.9999959468841553
dense_016_real,humaneval,middle,measured_dense_runtime,748,56,8,real,13.357142857142858,1,68,0.9336261318165292,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4359642364070169e-08,0.002813655650243163,0.9999960660934448
dense_016_real,humaneval,middle,measured_dense_runtime,748,56,8,real,13.357142857142858,1,68,0.9336261318165292,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4359642364070169e-08,0.002813655650243163,0.9999960660934448
dense_017_real,humaneval,middle,measured_dense_runtime,1986,63,1,real,31.523809523809526,1,142,0.8836896738624543,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4567793193975831e-08,0.002826862270012498,0.9999960660934448
dense_017_real,humaneval,middle,measured_dense_runtime,1986,63,1,real,31.523809523809526,1,142,0.8836896738624543,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4567793193975831e-08,0.002826862270012498,0.9999960660934448
