task,horizon,phase,state,token_rows,token_fraction,expert_assignments,remote_assignments,remote_activation_payload_bytes,combine_payload_bytes,active_experts,router_e2e_share_pct,dispatch_e2e_share_pct,expert_e2e_share_pct,combine_e2e_share_pct,total_routed_e2e_share_pct,evidence_boundary
gsm8k,0,early,ACTIVE,162037.0,17.041015625,1296296.0,975426.0,3097739264.0,3097739264.0,37624.0,0.3382338732622591,0.6738868571182473,1.727836034673691,0.5347990142159071,2.9365219060078447,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,0,early,DORMANT,112189.0,73.33984375,897512.0,669508.0,2125733888.0,2125733888.0,26825.0,0.24723257631622414,0.5182868725874116,1.2315244694680896,0.38978743904057994,2.1395987810960815,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,0,early,DEAD,43214.0,9.619140625,345712.0,259081.0,812597248.0,812597248.0,29055.0,0.08955716069902221,0.1808155279645718,0.4564124957553106,0.12031412486836222,0.7575421485882448,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,0,middle,ACTIVE,236468.0,7.2807591623036645,1891744.0,1421836.0,4482949120.0,4482949120.0,132368.0,0.5017026669137095,1.0008933244589595,2.624353399225919,0.5842449757926479,4.209491699477526,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,0,middle,DORMANT,301537.0,39.410176701570684,2412296.0,1805884.0,5654069248.0,5654069248.0,116460.0,0.6408677326587391,1.3955811848564934,3.5955452610057343,0.728352886742731,5.7194793326049576,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,0,middle,DEAD,584939.0,53.309064136125656,4679512.0,3508051.0,11031117824.0,11031117824.0,219458.0,1.2638978367588058,2.628172715027865,6.838470978915983,1.4313459009238703,10.897989594867719,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,0,late,ACTIVE,72075.0,5.6438127090301,576600.0,433051.0,1361305600.0,1361305600.0,86575.0,0.2668738611199807,0.4785440324134016,1.1275991433174681,0.23272235193765267,1.8388655276685224,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,0,late,DORMANT,55428.0,18.687290969899667,443424.0,332309.0,1045282816.0,1045282816.0,67689.0,0.3220130739140593,0.5573347446682456,1.2909043007814298,0.2502821664662592,2.0985212119159344,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,0,late,DEAD,484561.0,75.66889632107024,3876488.0,2909525.0,9131859968.0,9131859968.0,232359.0,2.7559933165181087,4.633502265077467,10.572920168264002,2.1361435681006533,17.342566001442123,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,1,early,ACTIVE,181505.0,27.1484375,1452040.0,1092156.0,3467894784.0,3467894784.0,38759.0,0.38029622483959596,0.7602167812482613,1.9381718651741298,0.60102592003767,3.2994145664600616,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,1,early,DORMANT,92721.0,63.232421875,741768.0,552778.0,1755578368.0,1755578368.0,24884.0,0.2051702247388873,0.43195694845739757,1.0211886389676508,0.3235605332188168,1.7767061206438648,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,1,early,DEAD,43214.0,9.619140625,345712.0,259081.0,812597248.0,812597248.0,29055.0,0.08955716069902221,0.1808155279645718,0.4564124957553106,0.12031412486836222,0.7575421485882448,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,1,middle,ACTIVE,287463.0,13.88252617801047,2299704.0,1727364.0,5441921024.0,5441921024.0,146839.0,0.6102709292748746,1.237112666538761,3.2334420197769753,0.7079454505423574,5.178500136858094,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,1,middle,DORMANT,250542.0,32.80840968586387,2004336.0,1500356.0,4695097344.0,4695097344.0,106783.0,0.5322994702975741,1.1593618427766903,2.986456640454676,0.6046524119930207,4.750470895224388,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,1,middle,DEAD,584939.0,53.309064136125656,4679512.0,3508051.0,11031117824.0,11031117824.0,219458.0,1.2638978367588058,2.628172715027865,6.838470978915983,1.4313459009238703,10.897989594867719,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,1,late,ACTIVE,84847.0,9.949832775919733,678776.0,509458.0,1602150400.0,1602150400.0,99621.0,0.3541423154121333,0.621362330542566,1.4570051815560183,0.29765239570597796,2.3760199078045625,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,1,late,DORMANT,42656.0,14.381270903010034,341248.0,255902.0,804438016.0,804438016.0,57310.0,0.23474461962190624,0.41451644653908154,0.9614982625428776,0.18535212269793433,1.5613668317798934,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,1,late,DEAD,484561.0,75.66889632107024,3876488.0,2909525.0,9131859968.0,9131859968.0,232359.0,2.7559933165181087,4.633502265077467,10.572920168264002,2.1361435681006533,17.342566001442123,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,2,early,ACTIVE,196757.0,33.88671875,1574056.0,1183496.0,3758022656.0,3758022656.0,39332.0,0.413611898917601,0.8295378582488082,2.107910938008249,0.656951868593914,3.594400664850971,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,2,early,DORMANT,77469.0,56.494140625,619752.0,461438.0,1465450496.0,1465450496.0,23435.0,0.17185455066088226,0.36263587145685006,0.8514495661335315,0.2676345846625728,1.4817200222529545,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,2,early,DEAD,43214.0,9.619140625,345712.0,259081.0,812597248.0,812597248.0,29055.0,0.08955716069902221,0.1808155279645718,0.4564124957553106,0.12031412486836222,0.7575421485882448,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,2,middle,ACTIVE,332847.0,19.76848821989529,2662776.0,1999086.0,6295404544.0,6295404544.0,153492.0,0.7062516973757513,1.447491633529648,3.774793562835124,0.8180108833839161,6.040296079748689,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,2,middle,DORMANT,205158.0,26.92244764397906,1641264.0,1228634.0,3841613824.0,3841613824.0,97589.0,0.4363187021966981,0.948982875785804,2.44510509739654,0.4945869791514636,3.8886749523338073,CUDA-event attribution normalized to clean E2E; analytical state allocation
gsm8k,2,middle,DEAD,584939.0,53.309064136125656,4679512.0,3508051.0,11031117824.0,11031117824.0,219458.0,1.2638978367588058,2.628172715027865,6.838470978915983,1.4313459009238703,10.897989594867719,CUDA-event attribution normalized to clean E2E; analytical state allocation
