task,split,model,features,horizon,false_dormant_rate,precision,recall,f1,deferred_routed_cost_pct,oracle_recovery_pct,post_epoch_e2e_pct,gate,threshold,test_rows
gsm8k,sequence_id>23,logistic,semantic,1,0.0,1.0,0.3380053908355795,0.5052377115229654,2.3500647720377015,33.80053908355795,2.3500647720377015,KILL,0.9708088846559547,5060
gsm8k,sequence_id>23,logistic,expert,1,0.0,1.0,0.0005390835579514825,0.0010775862068965517,0.003748109684270657,0.05390835579514825,0.003748109684270657,KILL,0.708405916745044,5060
gsm8k,sequence_id>23,logistic,semantic+expert,1,0.0,1.0,0.3404312668463612,0.5079428916147195,2.3669312656169197,34.04312668463612,2.3669312656169197,KILL,0.9711169853882813,5060
humaneval,sequence_id>23,logistic,semantic,1,0.0,1.0,0.18908045977011495,0.3180280328661189,1.3751008480441607,18.908045977011493,1.3751008480441607,KILL,0.9741468297005641,2637
humaneval,sequence_id>23,logistic,expert,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL,0.9251928280489905,2637
humaneval,sequence_id>23,logistic,semantic+expert,1,0.0,1.0,0.17873563218390803,0.303266699171136,1.2998673669961518,17.873563218390803,1.2998673669961518,KILL,0.9763583372895056,2637
