start,end,wall_seconds,physical_gpus,stage,task,configuration,status,artifact
2026-09-14T15:30:18+09:00,2026-09-14T15:31:34+09:00,76,4-7,clean,gsm8k,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/clean_gsm8k_ep4_b32_mini32_r1_g32.log
2026-09-14T15:31:35+09:00,2026-09-14T15:32:44+09:00,69,4-7,clean,gsm8k,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/clean_gsm8k_ep4_b32_mini32_r2_g32.log
2026-09-14T15:32:44+09:00,2026-09-14T15:33:54+09:00,70,4-7,clean,gsm8k,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/clean_gsm8k_ep4_b32_mini32_r3_g32.log
2026-09-14T15:33:54+09:00,2026-09-14T15:35:04+09:00,70,4-7,clean,humaneval,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/clean_humaneval_ep4_b32_mini32_r1_g32.log
2026-09-14T15:35:05+09:00,2026-09-14T15:36:17+09:00,72,4-7,clean,humaneval,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/clean_humaneval_ep4_b32_mini32_r2_g32.log
2026-09-14T15:36:17+09:00,2026-09-14T15:37:29+09:00,72,4-7,clean,humaneval,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/clean_humaneval_ep4_b32_mini32_r3_g32.log
2026-09-14T15:37:36+09:00,2026-09-14T15:39:11+09:00,95,4-7,timing,gsm8k,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/timing_gsm8k_ep4_b32_mini32_r1_g32.log
2026-09-14T15:39:12+09:00,2026-09-14T15:40:50+09:00,98,4-7,timing,humaneval,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/timing_humaneval_ep4_b32_mini32_r1_g32.log
2026-09-14T15:40:56+09:00,2026-09-14T15:42:43+09:00,107,4-7,shape,gsm8k,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/shape_gsm8k_ep4_b32_mini32_r1_g32.log
2026-09-14T15:42:43+09:00,2026-09-14T15:44:52+09:00,129,4-7,shape,humaneval,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/shape_humaneval_ep4_b32_mini32_r1_g32.log
2026-09-14T15:44:57+09:00,2026-09-14T15:46:40+09:00,103,4-7,detail,gsm8k,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/detail_gsm8k_ep4_b32_mini32_r1_g32.log
2026-09-14T15:46:40+09:00,2026-09-14T15:48:20+09:00,100,4-7,detail,humaneval,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/detail_humaneval_ep4_b32_mini32_r1_g32.log
2026-09-14T16:02:52+09:00,2026-09-14T16:08:49+09:00,357,4-7,causal,gsm8k,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/causal_gsm8k_ep4_b32_mini32_r1_g32.log
2026-09-14T16:09:29+09:00,2026-09-14T16:15:25+09:00,356,4-7,causal,humaneval,ep4_b32_mini32_g32,ok,/home/esjung/MLLM-EP-dormant-live/poc_dormant_live_ep_refresh/results/dormant_live_ep_refresh_20260914_152829/logs/causal_humaneval_ep4_b32_mini32_r1_g32.log
